Rentrée universitaire,catégorie d'établissement,secteur d'établissement,code UAI de l'établissement,sigle de l'établissement,libellé de l'établissement,libellé complémentaire de l'établissement,Code UAI de la composante,sigle de la composante,libellé de la composante,libellé complémentaire de la composante,id région,région,id académie,académie,id département,département,id unité urbaine,unité urbaine,code commune,Commune,gps,degetu,degre_etudes,nombre total d’étudiants inscrits hors doubles inscriptions université/CPGE,dont femmes,dont hommes
2021,Universités,Public,0350937D,U RENNES 2,UNIVERSITE,DE RENNES 2,0352300K,SUP,SERV UNIV DE PEDAGOGIE,UNIVERSITE RENNES 2,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.12701468836734, -1.6872681355394743",5.0,BAC + 5,11,5,6
2021,Universités,Public,0350937D,U RENNES 2,UNIVERSITE,DE RENNES 2,0352424V,UFR ART LET,UFR ARTS LETTRES COMMUNICATION,UNIVERSITE RENNES 2,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.12421121482742, -1.7002097435784336",1.0,BAC + 1,2533,1752,781
2021,Universités,Public,0350937D,U RENNES 2,UNIVERSITE,DE RENNES 2,0352425W,UFR SC SOC,UFR SCIENCES SOCIALES,UNIVERSITE RENNES 2,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.12421121482742, -1.7002097435784336",1.0,BAC + 1,944,424,520
2021,Universités,Public,0350937D,U RENNES 2,UNIVERSITE,DE RENNES 2,0352425W,UFR SC SOC,UFR SCIENCES SOCIALES,UNIVERSITE RENNES 2,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.12421121482742, -1.7002097435784336",4.0,BAC + 4,454,240,214
2021,Universités,Public,0350937D,U RENNES 2,UNIVERSITE,DE RENNES 2,0352426X,UFR SC HUM,UFR SCIENCES HUMAINES,UNIVERSITE RENNES 2,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.12421121482742, -1.7002097435784336",6.0,BAC + 6 et plus,140,93,47
2021,Universités,Public,0350937D,U RENNES 2,UNIVERSITE,DE RENNES 2,0352427Y,UFR LG CULT,UFR LANGUES CULTURES ETR REG,UNIVERSITE RENNES 2,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.12421121482742, -1.7002097435784336",1.0,BAC + 1,965,669,296
2021,Universités,Public,0350937D,U RENNES 2,UNIVERSITE,DE RENNES 2,0352427Y,UFR LG CULT,UFR LANGUES CULTURES ETR REG,UNIVERSITE RENNES 2,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.12421121482742, -1.7002097435784336",5.0,BAC + 5,253,180,73
2019,Lycées,Privé,0350778F,LG PR,LYCEE GENERAL PRIVE,ASSOMPTION,0350778F,LG PR,LYCEE GENERAL PRIVE,ASSOMPTION,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.12237920961309, -1.6589194034352435",,,207,48,159
2019,Lycées,Privé,0350783L,LGT PR,LYCEE GEN.ET TECHNOL.PRIVE,ST MARTIN QUARTIER STE GENEVIE,0350783L,LGT PR,LYCEE GEN.ET TECHNOL.PRIVE,ST MARTIN QUARTIER STE GENEVIE,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.09905569538576, -1.6854604057056213",,,38,27,11
2019,Lycées,Privé,0350797B,LPO PR METIER,LYC POLYVAL PRIVE DES METIERS,JEANNE D'ARC,0350797B,LPO PR METIER,LYC POLYVAL PRIVE DES METIERS,JEANNE D'ARC,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11924520129082, -1.6540806074427077",,,489,384,105
