Rentrée universitaire,catégorie d'établissement,secteur d'établissement,code UAI de l'établissement,sigle de l'établissement,libellé de l'établissement,libellé complémentaire de l'établissement,Code UAI de la composante,sigle de la composante,libellé de la composante,libellé complémentaire de la composante,id région,région,id académie,académie,id département,département,id unité urbaine,unité urbaine,code commune,Commune,gps,degetu,degre_etudes,nombre total d’étudiants inscrits hors doubles inscriptions université/CPGE,dont femmes,dont hommes
2022,"Écoles de commerce, gestion et vente",Privé,0352275H,EC SUP PR,ECOLE SUPERIEURE PRIVEE,ASSOCIATION ESUP GROUP  - ETAB,0352275H,EC SUP PR,ECOLE SUPERIEURE PRIVEE,ASSOCIATION ESUP GROUP  - ETAB,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35281,Saint-Jacques-de-la-Lande,"48.09281593304075, -1.7042444043551852",2.0,BAC + 2,42,28,14
2022,"Écoles de commerce, gestion et vente",Privé,0352275H,EC SUP PR,ECOLE SUPERIEURE PRIVEE,ASSOCIATION ESUP GROUP  - ETAB,0352275H,EC SUP PR,ECOLE SUPERIEURE PRIVEE,ASSOCIATION ESUP GROUP  - ETAB,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35281,Saint-Jacques-de-la-Lande,"48.09281593304075, -1.7042444043551852",4.0,BAC + 4,44,33,11
2022,"Écoles de commerce, gestion et vente",Privé,0352848F,ESG RENNES,EC SUP GEST COMMERCE FINANCE,nan,0352848F,ESG RENNES,EC SUP GEST COMMERCE FINANCE,nan,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.109897429536595, -1.6656803464516423",5.0,BAC + 5,187,122,65
2022,"Écoles de commerce, gestion et vente",Privé,0352970N,EC TECH SUP PR,SDV EDU,CHANTEPIE,0352970N,EC TECH SUP PR,SDV EDU,CHANTEPIE,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35055,Chantepie,"48.09829176748678, -1.6227352061907667",1.0,BAC + 1,25,12,13
2022,"Écoles de commerce, gestion et vente",Privé,0353001X,EC TECH SUP PR,GROUPE AFTEC,IPAC BACHELOR FACTORY RENNES,0353001X,EC TECH SUP PR,GROUPE AFTEC,IPAC BACHELOR FACTORY RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.09075242136242, -1.6312449374445546",4.0,BAC + 4,1,0,1
2022,"Écoles de commerce, gestion et vente",Privé,0353004A,EC TECH SUP PR,GROUPE AFTEC,WIN SPORT SCHOOL RENNES,0353004A,EC TECH SUP PR,GROUPE AFTEC,WIN SPORT SCHOOL RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.09075242136242, -1.6312449374445546",4.0,BAC + 4,46,5,41
2022,Écoles d'ingénieurs,Privé,0352373P,EME BRUZ,ECOLE METIERS ENVIRONNEMENT,UNILASALLE - EME,0352373P,EME BRUZ,ECOLE METIERS ENVIRONNEMENT,UNILASALLE - EME,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35047,Bruz,"48.043311109384184, -1.7505500142218064",1.0,BAC + 1,115,66,49
2022,Lycées,Privé,0350776D,LPO PR,LYCEE POLYVALENT PRIVE,ST VINCENT-PROVIDENCE,0350776D,LPO PR,LYCEE POLYVALENT PRIVE,ST VINCENT-PROVIDENCE,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11372191282088, -1.6638200409477635",1.0,BAC + 1,102,49,53
2022,Lycées,Privé,0350778F,LG PR,LYCEE GENERAL PRIVE,ASSOMPTION,0350778F,LG PR,LYCEE GENERAL PRIVE,ASSOMPTION,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.12237920961309, -1.6589194034352435",2.0,BAC + 2,73,18,55
2022,Lycées,Privé,0350783L,LGT PR,LYCEE GEN.ET TECHNOL.PRIVE,ST MARTIN QUARTIER STE GENEVIE,0350783L,LGT PR,LYCEE GEN.ET TECHNOL.PRIVE,ST MARTIN QUARTIER STE GENEVIE,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.09905569538576, -1.6854604057056213",2.0,BAC + 2,16,16,0
2022,Lycées,Privé,0350783L,LGT PR,LYCEE GEN.ET TECHNOL.PRIVE,ST MARTIN QUARTIER STE GENEVIE,0350783L,LGT PR,LYCEE GEN.ET TECHNOL.PRIVE,ST MARTIN QUARTIER STE GENEVIE,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.09905569538576, -1.6854604057056213",3.0,BAC + 3,14,14,0
2022,Lycées,Privé,0350795Z,LPO PR METIER,LYC POLYVAL PRIVE DES METIERS,DE LA SALLE,0350795Z,LPO PR METIER,LYC POLYVAL PRIVE DES METIERS,DE LA SALLE,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.12536025658285, -1.6686393691236232",2.0,BAC + 2,174,70,104
2022,Lycées,Privé,0350797B,LPO PR METIER,LYC POLYVAL PRIVE DES METIERS,JEANNE D'ARC,0350797B,LPO PR METIER,LYC POLYVAL PRIVE DES METIERS,JEANNE D'ARC,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11924520129082, -1.6540806074427077",3.0,BAC + 3,25,24,1
2022,Lycées,Public,0350028R,LGT,LYCEE GENERAL ET TECHNOLOGIQUE,BREQUIGNY,0350028R,LGT,LYCEE GENERAL ET TECHNOLOGIQUE,BREQUIGNY,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.08457245807521, -1.688419551002567",1.0,BAC + 1,324,166,158
2022,Lycées,Public,0350031U,LP LYC METIER,LP LYCEE DES METIERS,JEAN JAURES,0350031U,LP LYC METIER,LP LYCEE DES METIERS,JEAN JAURES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.0923865526355, -1.6879355434525904",2.0,BAC + 2,11,6,5
2022,Lycées,Public,0350032V,LP LYC METIER,LP LYCEE DES METIERS,LOUIS GUILLOUX,0350032V,LP LYC METIER,LP LYCEE DES METIERS,LOUIS GUILLOUX,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.125827732598204, -1.6307600681044545",1.0,BAC + 1,33,13,20
2022,Lycées,Public,0350700W,LEGTA,LEGT AGRICOLE,DE RENNES LE RHEU,0350700W,LEGTA,LEGT AGRICOLE,DE RENNES LE RHEU,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35302,Le Rheu,35240,Le Rheu,"48.09938942321075, -1.8092498270455983",1.0,BAC + 1,113,50,63
2022,Lycées,Public,0350700W,LEGTA,LEGT AGRICOLE,DE RENNES LE RHEU,0350700W,LEGTA,LEGT AGRICOLE,DE RENNES LE RHEU,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35302,Le Rheu,35240,Le Rheu,"48.09938942321075, -1.8092498270455983",2.0,BAC + 2,141,70,71
2022,Lycées,Public,0350710G,LG,LYCEE GENERAL,FRANCOIS RENE DE CHATEAUBRIAND,0350710G,LG,LYCEE GENERAL,FRANCOIS RENE DE CHATEAUBRIAND,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.123363322121065, -1.6494796949846537",1.0,BAC + 1,593,319,274
2022,Lycées,Public,0350710G,LG,LYCEE GENERAL,FRANCOIS RENE DE CHATEAUBRIAND,0350710G,LG,LYCEE GENERAL,FRANCOIS RENE DE CHATEAUBRIAND,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.123363322121065, -1.6494796949846537",2.0,BAC + 2,546,276,270
2022,Écoles paramédicales hors université,Privé,0351601A,IFMK,INST FORM MASSO-KINESITHERAPIE,CHU PONTCHAILLOU RENNES,0351601A,IFMK,INST FORM MASSO-KINESITHERAPIE,CHU PONTCHAILLOU RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.124776359716186, -1.6987197692374079",4.0,BAC + 4,98,63,35
2022,Écoles paramédicales hors université,Public,0350098S,FORM SANTE,CENTRES FORM METIERS SANTE,CHRU PONTCHAILLOU RENNES,0350098S,FORM SANTE,CENTRES FORM METIERS SANTE,CHRU PONTCHAILLOU RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.116772952110914, -1.6957703345558421",3.0,BAC + 3,182,147,35
2022,Écoles paramédicales hors université,Public,0352087D,FORM SANTE,CENTRES FORM METIERS SANTE,CTRE HOSP SPE G REGNIER RENNES,0352087D,FORM SANTE,CENTRES FORM METIERS SANTE,CTRE HOSP SPE G REGNIER RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11531782496442, -1.6384495254941025",2.0,BAC + 2,116,97,19
2022,Universités,Public,0290346U,U BREST,UNIVERSITE  BREST,BRETAGNE OCCIDENTALE,0351580C,UFR SPM,UFR SCIENCES ET PROPRIETES DE,UNIVERSITE DE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11412271889446, -1.6376903820335271",5.0,BAC + 5,17,5,12
2022,Universités,Public,0290346U,U BREST,UNIVERSITE  BREST,BRETAGNE OCCIDENTALE,0352076S,UFR SC VIE ENV,UFR SCIENCES VIE ENVIRONNEMENT,UNIVERSITE DE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11412271889446, -1.6376903820335271",4.0,BAC + 4,27,16,11
2022,Universités,Public,0290346U,U BREST,UNIVERSITE  BREST,BRETAGNE OCCIDENTALE,0352076S,UFR SC VIE ENV,UFR SCIENCES VIE ENVIRONNEMENT,UNIVERSITE DE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11412271889446, -1.6376903820335271",5.0,BAC + 5,25,13,12
2022,Universités,Public,0290346U,U BREST,UNIVERSITE  BREST,BRETAGNE OCCIDENTALE,0352863X,INSPE RENNES,INSPE ACADEMIE RENNES,UNIVERSITE BREST,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.122280577120854, -1.6840004580597403",3.0,BAC + 3,2,2,0
2022,Universités,Public,0290346U,U BREST,UNIVERSITE  BREST,BRETAGNE OCCIDENTALE,0352863X,INSPE RENNES,INSPE ACADEMIE RENNES,UNIVERSITE BREST,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.122280577120854, -1.6840004580597403",5.0,BAC + 5,226,159,67
2022,Universités,Public,0350937D,U RENNES 2,UNIVERSITE,DE RENNES 2,0350919J,UFR STAPS,UFR STAPS,UNIVERSITE RENNES 2,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.12587698771854, -1.7005505598348052",1.0,BAC + 1,644,240,404
2022,Universités,Public,0350937D,U RENNES 2,UNIVERSITE,DE RENNES 2,0350919J,UFR STAPS,UFR STAPS,UNIVERSITE RENNES 2,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.12587698771854, -1.7005505598348052",4.0,BAC + 4,183,51,132
2022,Universités,Public,0350937D,U RENNES 2,UNIVERSITE,DE RENNES 2,0350919J,UFR STAPS,UFR STAPS,UNIVERSITE RENNES 2,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.12587698771854, -1.7005505598348052",6.0,BAC + 6 et plus,38,18,20
2022,Universités,Public,0350937D,U RENNES 2,UNIVERSITE,DE RENNES 2,0352424V,UFR ART LET,UFR ARTS LETTRES COMMUNICATION,UNIVERSITE RENNES 2,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.12421121482742, -1.7002097435784336",1.0,BAC + 1,2008,1411,597
2022,Universités,Public,0350937D,U RENNES 2,UNIVERSITE,DE RENNES 2,0352425W,UFR SC SOC,UFR SCIENCES SOCIALES,UNIVERSITE RENNES 2,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.12421121482742, -1.7002097435784336",6.0,BAC + 6 et plus,78,30,48
2022,Universités,Public,0350937D,U RENNES 2,UNIVERSITE,DE RENNES 2,0352426X,UFR SC HUM,UFR SCIENCES HUMAINES,UNIVERSITE RENNES 2,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.12421121482742, -1.7002097435784336",2.0,BAC + 2,1140,925,215
2022,Universités,Public,0350937D,U RENNES 2,UNIVERSITE,DE RENNES 2,0352426X,UFR SC HUM,UFR SCIENCES HUMAINES,UNIVERSITE RENNES 2,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.12421121482742, -1.7002097435784336",6.0,BAC + 6 et plus,139,87,52
2022,Universités,Public,0350937D,U RENNES 2,UNIVERSITE,DE RENNES 2,0352427Y,UFR LG CULT,UFR LANGUES CULTURES ETR REG,UNIVERSITE RENNES 2,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.12421121482742, -1.7002097435784336",4.0,BAC + 4,247,189,58
2022,Universités,Public,0353074B,IEP RENNES,INST ETUD POLITIQUES RENNES,SC PO RENNES,0352317D,IEP RENNES,INST ETUD POLITIQUES RENNES,SC PO RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.121160332309735, -1.6684861638310517",4.0,BAC + 4,255,163,92
2022,Universités,Public,0353074B,UR (EPE),UNIVERSITE,DE RENNES (EPE),0351573V,UFR SC JURID,UFR SCIENCES JURIDIQUES,UNIVERSITE DE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11795556476907, -1.6697200276533222",1.0,BAC + 1,1272,913,359
2022,Universités,Public,0353074B,UR (EPE),UNIVERSITE,DE RENNES (EPE),0351576Y,UFR SC MEDICAL,UFR SCIENCES MEDICALES,UNIVERSITE DE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.117525814316345, -1.6966705794419807",5.0,BAC + 5,382,282,100
2022,Universités,Public,0353074B,UR (EPE),UNIVERSITE,DE RENNES (EPE),0351577Z,UFR SC PHARM,UFR SC PHARMACEUTIQUES,UNIVERSITE DE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.117525814316345, -1.6966705794419807",3.0,BAC + 3,133,106,27
2022,Universités,Public,0353074B,UR (EPE),UNIVERSITE,DE RENNES (EPE),0351577Z,UFR SC PHARM,UFR SC PHARMACEUTIQUES,UNIVERSITE DE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.117525814316345, -1.6966705794419807",4.0,BAC + 4,130,79,51
2022,Universités,Public,0353074B,UR (EPE),UNIVERSITE,DE RENNES (EPE),0351579B,UFR MATHS,UFR MATHEMATIQUES,UNIVERSITE DE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11412271889446, -1.6376903820335271",1.0,BAC + 1,186,62,124
2022,Universités,Public,0353074B,UR (EPE),UNIVERSITE,DE RENNES (EPE),0351579B,UFR MATHS,UFR MATHEMATIQUES,UNIVERSITE DE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11412271889446, -1.6376903820335271",3.0,BAC + 3,195,58,137
2022,Universités,Public,0353074B,UR (EPE),UNIVERSITE,DE RENNES (EPE),0351579B,UFR MATHS,UFR MATHEMATIQUES,UNIVERSITE DE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11412271889446, -1.6376903820335271",4.0,BAC + 4,112,19,93
2022,Universités,Public,0353074B,UR (EPE),UNIVERSITE,DE RENNES (EPE),0351580C,UFR SPM,UFR SCIENCES ET PROPRIETES DE,UNIVERSITE DE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11412271889446, -1.6376903820335271",5.0,BAC + 5,126,45,81
2022,Universités,Public,0353074B,UR (EPE),UNIVERSITE,DE RENNES (EPE),0351583F,UFR PHILO,UFR PHILOSOPHIE,UNIVERSITE DE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.118812719023005, -1.6453299161943138",4.0,BAC + 4,30,8,22
2022,Universités,Public,0353074B,UR (EPE),UNIVERSITE,DE RENNES (EPE),0352076S,UFR SC VIE ENV,UFR SCIENCES VIE ENVIRONNEMENT,UNIVERSITE DE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11412271889446, -1.6376903820335271",6.0,BAC + 6 et plus,86,43,43
2022,Universités,Public,0353074B,UR (EPE),UNIVERSITE,DE RENNES (EPE),0352786N,ESIR RENNES,EC SUP INGENIEURS RENNES,UNIVERSITE DE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.114452391497785, -1.6467986203667293",2.0,BAC + 2,231,63,168
2022,Universités,Public,0353074B,UR (EPE),UNIVERSITE,DE RENNES (EPE),0352786N,ESIR RENNES,EC SUP INGENIEURS RENNES,UNIVERSITE DE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.114452391497785, -1.6467986203667293",3.0,BAC + 3,126,33,93
2022,Universités,Public,0353074B,UR (EPE),UNIVERSITE,DE RENNES (EPE),0352798B,OSUR,OBS SCIENCES UNIVERS RENNES,UNIVERSITE DE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.118812719023005, -1.6453299161943138",1.0,BAC + 1,22,15,7
2022,Universités,Public,0353074B,UR (EPE),UNIVERSITE,DE RENNES (EPE),0352798B,OSUR,OBS SCIENCES UNIVERS RENNES,UNIVERSITE DE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.118812719023005, -1.6453299161943138",5.0,BAC + 5,210,102,108
2023,"Écoles de commerce, gestion et vente",Privé,0353004A,EC TECH SUP PR,GROUPE AFTEC,WIN SPORT SCHOOL RENNES,0353004A,EC TECH SUP PR,GROUPE AFTEC,WIN SPORT SCHOOL RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.09075242136242, -1.6312449374445546",2.0,BAC + 2,48,6,42
2023,"Écoles de commerce, gestion et vente",Privé,0353004A,EC TECH SUP PR,GROUPE AFTEC,WIN SPORT SCHOOL RENNES,0353004A,EC TECH SUP PR,GROUPE AFTEC,WIN SPORT SCHOOL RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.09075242136242, -1.6312449374445546",3.0,BAC + 3,2,0,2
2023,"Écoles de commerce, gestion et vente",Privé,0353078F,OF TECH PRIV,ECOLE SUPERIEURE PRIVEE,ECOFAC BUSINESS SCHOOL RENNES,0353078F,OF TECH PRIV,ECOLE SUPERIEURE PRIVEE,ECOFAC BUSINESS SCHOOL RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35051,Cesson-Sévigné,"48.12788306266749, -1.6135475350643786",2.0,BAC + 2,85,52,33
2023,Écoles normales supérieures,Public,0353074B,ENS RENNES,ECOLE NORMALE SUP RENNES,nan,0352440M,ENS RENNES,ECOLE NORMALE SUP RENNES,nan,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35047,Bruz,"48.043311109384184, -1.7505500142218064",1.0,BAC + 1,54,40,14
2023,Écoles normales supérieures,Public,0353074B,ENS RENNES,ECOLE NORMALE SUP RENNES,nan,0352440M,ENS RENNES,ECOLE NORMALE SUP RENNES,nan,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35047,Bruz,"48.043311109384184, -1.7505500142218064",3.0,BAC + 3,176,40,136
2023,Écoles normales supérieures,Public,0353074B,ENS RENNES,ECOLE NORMALE SUP RENNES,nan,0352440M,ENS RENNES,ECOLE NORMALE SUP RENNES,nan,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35047,Bruz,"48.043311109384184, -1.7505500142218064",4.0,BAC + 4,104,33,71
2023,Écoles d'ingénieurs,Privé,0352373P,EME BRUZ,ECOLE METIERS ENVIRONNEMENT,UNILASALLE - EME,0352373P,EME BRUZ,ECOLE METIERS ENVIRONNEMENT,UNILASALLE - EME,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35047,Bruz,"48.043311109384184, -1.7505500142218064",2.0,BAC + 2,105,57,48
2023,Écoles d'ingénieurs,Privé,0352373P,EME BRUZ,ECOLE METIERS ENVIRONNEMENT,UNILASALLE - EME,0352373P,EME BRUZ,ECOLE METIERS ENVIRONNEMENT,UNILASALLE - EME,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35047,Bruz,"48.043311109384184, -1.7505500142218064",4.0,BAC + 4,133,83,50
2023,Écoles d'ingénieurs,Privé,0352373P,EME BRUZ,ECOLE METIERS ENVIRONNEMENT,UNILASALLE - EME,0352373P,EME BRUZ,ECOLE METIERS ENVIRONNEMENT,UNILASALLE - EME,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35047,Bruz,"48.043311109384184, -1.7505500142218064",6.0,BAC + 6 et plus,14,6,8
2023,Écoles d'ingénieurs,Public,0352480F,ENSAI,ECOLE NAT STATISTIQUE ANALYSE,nan,0352480F,ENSAI,ECOLE NAT STATISTIQUE ANALYSE,nan,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35047,Bruz,"48.05076529885353, -1.7418695846123484",5.0,BAC + 5,228,79,149
2023,Écoles d'ingénieurs,Public,0352692L,INSTITUT AGRO,INSTITUT AGRO RENNES-ANGERS,nan,0352771X,INST AGRO REN,INSTITUT AGRO RENNES-ANGERS (R,nan,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11297073412517, -1.7041496166646952",3.0,BAC + 3,254,179,75
2023,Écoles d'ingénieurs,Public,0353074B,ENSC RENNES,ENS CHIMIE RENNES,nan,0350077U,ENSC RENNES,ENS CHIMIE RENNES,nan,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.118299775277826, -1.6332702117240678",5.0,BAC + 5,91,61,30
2023,Écoles juridiques et administratives,Privé,0352767T,EC SUP PR,INSTITUT NATIONAL,FORMATIONS NOTARIALES,0352767T,EC SUP PR,INSTITUT NATIONAL,FORMATIONS NOTARIALES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.1042098313018, -1.6858300778413708",1.0,BAC + 1,76,61,15
2023,Lycées,Privé,0350778F,LG PR,LYCEE GENERAL PRIVE,ASSOMPTION,0350778F,LG PR,LYCEE GENERAL PRIVE,ASSOMPTION,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.12237920961309, -1.6589194034352435",1.0,BAC + 1,85,19,66
2023,Lycées,Privé,0350797B,LPO PR METIER,LYC POLYVAL PRIVE DES METIERS,JEANNE D'ARC,0350797B,LPO PR METIER,LYC POLYVAL PRIVE DES METIERS,JEANNE D'ARC,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11924520129082, -1.6540806074427077",2.0,BAC + 2,205,160,45
2023,Lycées,Public,0350028R,LGT,LYCEE GENERAL ET TECHNOLOGIQUE,BREQUIGNY,0350028R,LGT,LYCEE GENERAL ET TECHNOLOGIQUE,BREQUIGNY,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.08457245807521, -1.688419551002567",2.0,BAC + 2,255,136,119
2023,Lycées,Public,0350030T,LPO LYC METIER,LPO LYCEE DES METIERS,PIERRE MENDES FRANCE,0350030T,LPO LYC METIER,LPO LYCEE DES METIERS,PIERRE MENDES FRANCE,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.13456378866646, -1.682469694733497",1.0,BAC + 1,157,14,143
2023,Lycées,Public,0350032V,LP LYC METIER,LP LYCEE DES METIERS,LOUIS GUILLOUX,0350032V,LP LYC METIER,LP LYCEE DES METIERS,LOUIS GUILLOUX,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.125827732598204, -1.6307600681044545",1.0,BAC + 1,26,10,16
2023,Lycées,Public,0352009U,LGT,LYCEE GENERAL ET TECHNOLOGIQUE,VICTOR ET HELENE BASCH,0352009U,LGT,LYCEE GENERAL ET TECHNOLOGIQUE,VICTOR ET HELENE BASCH,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.12658429302272, -1.6893397892166613",1.0,BAC + 1,141,58,83
2024,Écoles paramédicales hors université,Privé,0351601A,IFMK,INST FORM MASSO-KINESITHERAPIE,CHU PONTCHAILLOU RENNES,0351601A,IFMK,INST FORM MASSO-KINESITHERAPIE,CHU PONTCHAILLOU RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.124776359716186, -1.6987197692374079",2.0,BAC + 2,97,38,59
2024,Écoles paramédicales hors université,Privé,0351601A,IFMK,INST FORM MASSO-KINESITHERAPIE,CHU PONTCHAILLOU RENNES,0351601A,IFMK,INST FORM MASSO-KINESITHERAPIE,CHU PONTCHAILLOU RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.124776359716186, -1.6987197692374079",3.0,BAC + 3,89,89,0
2024,Écoles paramédicales hors université,Privé,0351602B,IFPP,INST FORM PEDICURIE-PODOLOGIE,CHRU PONTCHAILLOU RENNES,0351602B,IFPP,INST FORM PEDICURIE-PODOLOGIE,CHRU PONTCHAILLOU RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.124855030635636, -1.6984197907441194",1.0,BAC + 1,46,12,34
