date,adresse,commune,insee,cote_archives,longitude,latitude
1942,rue de la Gomondière,Rennes,35238,762W,-1.647595,48.094876
1942,15 rue Ginguené,Rennes,35238,762W,-1.684623,48.099064
1942,16 Boulevard Georges-Clémenceau,Rennes,35238,762W,-1.68887,48.094597
1943,rue du Général-Margueritte,Rennes,35238,762W,-1.679207,48.099216
1946,45 rue du Général-Margueritte,Rennes,35238,762W,-1.679163,48.099306
1946,69 rue Ginguené,Rennes,35238,762W,-1.679738,48.099188
1947,92 rue Ginguené,Rennes,35238,762W,-1.67696,48.099289
1948,125 rue Ginguené,Rennes,35238,762W,-1.670699,48.099979
1948,4 rue Gilles-Languedoc,Rennes,35238,762W,-1.686841,48.121883
1948,45bis rue du Général-Margueritte,Rennes,35238,762W,-1.679207,48.099216
1948,avenue du Général-Leclerc,Rennes,35238,762W,-1.645334,48.118813
1948,avenue du Général-Leclerc,Rennes,35238,762W,-1.645334,48.118813
1948,avenue du Général-Leclerc,Rennes,35238,762W,-1.645334,48.118813
1948,impasse Geoffroy-de-Pontblanc,Rennes,35238,762W,-1.695605,48.108854
1949,avenue du Général-Leclerc,Rennes,35238,762W,-1.645334,48.118813
1949,26 rue Ginguené,Rennes,35238,762W,-1.683796,48.098895
1949,31 rue George-Sand,Rennes,35238,762W,-1.668308,48.117532
1949,39 rue Ginguené,Rennes,35238,762W,-1.682003,48.09904
1949,45 rue Ginguené,Rennes,35238,762W,-1.681639,48.099072
1949,91 rue Ginguené,Rennes,35238,762W,-1.677279,48.099355
1949,94 rue Ginguené,Rennes,35238,762W,-1.676844,48.099297
1949,avenue du Général-Leclerc,Rennes,35238,762W,-1.645334,48.118813
1949,50bis rue du Général-Margueritte,Rennes,35238,762W,-1.679178,48.098489
1950,110 rue Ginguené,Rennes,35238,762W,-1.675183,48.099434
1950,163 Avenue du Général-Leclerc,Rennes,35238,762W,-1.654327,48.114765
1950,31 rue Gilles-Languedoc,Rennes,35238,762W,-1.687194,48.122286
1950,Avenue Général-Leclerc,Rennes,35238,762W,-1.64858,48.1144
1951,10 rue Glais-Bizoin,Rennes,35238,762W,-1.670095,48.095781
1951,107 rue Ginguené,Rennes,35238,762W,-1.676218,48.099424
1951,11 rue Gilles-Languedoc,Rennes,35238,762W,-1.687276,48.122038
1951,3 Boulevard Georges-Clémenceau,Rennes,35238,762W,-1.689641,48.094799
1951,45 rue Ginguené,Rennes,35238,762W,-1.681639,48.099072
1951,63 rue du Général-Margueritte,Rennes,35238,762W,-1.678972,48.098074
1951,72 Boulevard Georges Clémenceau,Rennes,35238,762W,-1.683857,48.094295
1951,78 rue du Général-Margueritte,Rennes,35238,762W,-1.678968,48.097105
1951,Avenue du Général-Leclerc,Rennes,35238,762W,-1.645334,48.118813
1951,Boulevard Georges-Clémenceau,Rennes,35238,762W,-1.682916,48.094318
1954,avenue du Général-George-Patton,Rennes,35238,761W,-1.661442,48.132739
1951,Boulevard Georges-Clémenceau,Rennes,35238,762W,-1.682916,48.094318
1951,rue Georges-Bizet,Rennes,35238,762W,-1.686155,48.124518
1951,rue Georges-Bizet,Rennes,35238,762W,-1.686155,48.124518
1951,rue Ginguené,Rennes,35238,762W,-1.67804,48.099368
1952,11 rue Ginguené,Rennes,35238,762W,-1.685576,48.099188
1952,126 rue Guinguené,Rennes,35238,762W,-1.674192,48.09956
1952,199 avenue du Général-Leclerc,Rennes,35238,762W,-1.649455,48.114459
1952,27 rue du Général-Margueritte,Rennes,35238,762W,-1.679307,48.100277
1952,28 Boulevard Georges-Clémenceau,Rennes,35238,762W,-1.68766,48.094526
1952,29 Boulevard Georges-Clémenceau,Rennes,35238,762W,-1.686612,48.094619
1952,5 rue Glais-Bizoin,Rennes,35238,762W,-1.670913,48.095953
1952,Boulevard Georges-Clémenceau,Rennes,35238,762W,-1.682916,48.094318
1952,Boulevard Georges-Clémenceau,Rennes,35238,762W,-1.682916,48.094318
1952,Boulevard Georges-Clémenceau,Rennes,35238,762W,-1.682916,48.094318
1952,rue Georges-Bizet,Rennes,35238,762W,-1.686155,48.124518
1952,rue Georges-Bourdais,Rennes,35238,762W,-1.68674,48.090726
1952,rue Georges-Bourdais,Rennes,35238,762W,-1.68674,48.090726
1952,rue Ginguené et impasse des Planches,Rennes,35238,762W,-1.670494,48.099547
1952,rue Glais-Bizoin,Rennes,35238,762W,-1.66964,48.095766
1952,avenue du Général-Leclerc_x000D_,Rennes,35238,762W,-1.645334,48.118813
1953,12 rue Gilles-Languedoc,Rennes,35238,762W,-1.687117,48.122358
1953,123 rue Ginguené,Rennes,35238,762W,-1.670855,48.099976
1953,13 rue Ginguené,Rennes,35238,762W,-1.68536,48.099124
1953,133 avenue du Général-Leclerc,Rennes,35238,762W,-1.656862,48.114647
1953,14 rue George-Sand,Rennes,35238,762W,-1.668397,48.116861
