journey_id,trip_id,journey_start_datetime,journey_start_date,journey_start_time,journey_start_lon,journey_start_lat,journey_start_insee,journey_start_department,journey_start_town,journey_start_towngroup,journey_start_country,journey_end_datetime,journey_end_date,journey_end_time,journey_end_lon,journey_end_lat,journey_end_insee,journey_end_department,journey_end_town,journey_end_towngroup,journey_end_country,passenger_seats,operator_class,journey_distance,journey_duration,has_incentive
12390677,3b8b72b6-aac6-42be-89ac-30be81ace6a1,2023-02-01T08:00:00+01:00,2023-02-01,08:00:00,-1.690,48.109,35238,35,Rennes,Rennes Métropole,France,2023-02-01T08:20:00+01:00,2023-02-01,08:20:00,-1.746,48.044,35047,35,Bruz,Rennes Métropole,France,1,C,10610,11,NON
12390679,cfe9a47a-3014-4f1a-a96d-57058b81901a,2023-02-01T08:00:00+01:00,2023-02-01,08:00:00,-1.761,48.027,35047,35,Bruz,Rennes Métropole,France,2023-02-01T08:30:00+01:00,2023-02-01,08:30:00,-1.862,47.718,35145,35,Langon,CA Redon Agglomération,France,1,C,41868,29,OUI
12390717,b566f7de-c1b8-4a1e-9c71-668fefec26fd,2023-02-01T08:00:00+01:00,2023-02-01,08:00:00,-1.674,48.087,35238,35,Rennes,Rennes Métropole,France,2023-02-01T08:40:00+01:00,2023-02-01,08:40:00,-1.198,48.353,35115,35,Fougères,CA Fougères Agglomération,France,1,C,56604,38,OUI
12278136,90fb1656-705a-41c2-a57d-c63f8e1bc56d,2023-02-01T08:00:00+01:00,2023-02-01,08:00:00,-1.489,47.947,35136,35,Janzé,CC Roche aux Fées Communauté,France,2023-02-01T08:30:00+01:00,2023-02-01,08:30:00,-1.668,48.104,35238,35,Rennes,Rennes Métropole,France,1,A,25762,21,NON
12261163,dd77dc5d-3316-4cea-a5b4-c1b0da9793ab,2023-02-01T08:00:00+01:00,2023-02-01,08:00:00,-1.647,48.122,35238,35,Rennes,Rennes Métropole,France,2023-02-01T08:10:00+01:00,2023-02-01,08:10:00,-1.613,48.127,35051,35,Cesson-Sévigné,Rennes Métropole,France,1,C,2937,8,OUI
12261715,dc54bd5e-5b12-42a9-8fa8-6525a3cf0354,2023-02-01T08:00:00+01:00,2023-02-01,08:00:00,-1.799,48.095,35240,35,Le Rheu,Rennes Métropole,France,2023-02-01T08:10:00+01:00,2023-02-01,08:10:00,-1.762,48.146,35210,35,Pacé,Rennes Métropole,France,1,C,8109,11,OUI
12262027,7fc4e3d2-31cc-4f1c-a8ee-fb2647283dd5,2023-02-01T08:00:00+01:00,2023-02-01,08:00:00,-1.643,48.117,35238,35,Rennes,Rennes Métropole,France,2023-02-01T08:20:00+01:00,2023-02-01,08:20:00,-1.194,48.069,35109,35,Étrelles,CA Vitré Communauté,France,1,C,36414,28,OUI
12267933,93a904f6-3038-4353-a0f9-56a906729041,2023-02-01T08:00:00+01:00,2023-02-01,08:00:00,-1.794,48.099,35240,35,Le Rheu,Rennes Métropole,France,2023-02-01T08:20:00+01:00,2023-02-01,08:20:00,-1.697,48.154,35278,35,Saint-Grégoire,Rennes Métropole,France,1,B,12021,18,NON
12296104,6267cb9b-1aa2-4798-a1d4-ed9077d4faee,2023-02-01T08:00:00+01:00,2023-02-01,08:00:00,-1.643,48.129,35238,35,Rennes,Rennes Métropole,France,2023-02-01T08:10:00+01:00,2023-02-01,08:10:00,-1.684,48.131,35238,35,Rennes,Rennes Métropole,France,1,C,3593,5,NON
12310571,f7c84219-28b8-4abf-8f34-9fa29bc6f9c2,2023-02-01T08:00:00+01:00,2023-02-01,08:00:00,-1.710,48.085,35281,35,Saint-Jacques-de-la-Lande,Rennes Métropole,France,2023-02-01T08:20:00+01:00,2023-02-01,08:20:00,-1.637,48.095,35238,35,Rennes,Rennes Métropole,France,1,C,8670,13,OUI
12390362,45a8d37e-6ad8-4c91-bd49-0e92366a432e,2023-02-01T08:00:00+01:00,2023-02-01,08:00:00,-1.690,48.105,35238,35,Rennes,Rennes Métropole,France,2023-02-01T08:50:00+01:00,2023-02-01,08:50:00,-1.986,48.628,35288,35,Saint-Malo,CA du Pays de Saint Malo Agglomération,France,1,C,66811,45,OUI
12390415,401c59b1-7182-497f-bdd6-903634177cdd,2023-02-01T08:00:00+01:00,2023-02-01,08:00:00,-1.616,48.112,35051,35,Cesson-Sévigné,Rennes Métropole,France,2023-02-01T08:10:00+01:00,2023-02-01,08:10:00,-1.684,48.107,35238,35,Rennes,Rennes Métropole,France,1,C,6692,10,NON
12262029,7fc4e3d2-31cc-4f1c-a8ee-fb2647283dd5,2023-02-01T08:00:00+01:00,2023-02-01,08:00:00,-1.643,48.117,35238,35,Rennes,Rennes Métropole,France,2023-02-01T08:20:00+01:00,2023-02-01,08:20:00,-1.194,48.069,35109,35,Étrelles,CA Vitré Communauté,France,1,C,36414,29,OUI
12390953,d543e960-00ea-4997-8399-848a73b18913,2023-02-01T08:10:00+01:00,2023-02-01,08:10:00,-1.674,48.087,35238,35,Rennes,Rennes Métropole,France,2023-02-01T08:50:00+01:00,2023-02-01,08:50:00,-1.196,48.345,35115,35,Fougères,CA Fougères Agglomération,France,1,C,56462,38,OUI
12390917,bb3abc1c-d1ef-41e2-850b-05c85a2501d4,2023-02-01T08:10:00+01:00,2023-02-01,08:10:00,-1.539,48.131,35001,35,Acigné,Rennes Métropole,France,2023-02-01T08:30:00+01:00,2023-02-01,08:30:00,-1.696,48.154,35278,35,Saint-Grégoire,Rennes Métropole,France,1,C,14702,12,OUI
12390944,cb96bb05-944d-4016-8cdc-8a7335a882d2,2023-02-01T08:10:00+01:00,2023-02-01,08:10:00,-1.838,48.073,35196,35,Mordelles,Rennes Métropole,France,2023-02-01T08:20:00+01:00,2023-02-01,08:20:00,-1.741,48.045,35047,35,Bruz,Rennes Métropole,France,1,B,9777,9,NON
12390836,ba29ea27-fe6f-45b1-b0b2-59ad48c95bff,2023-02-01T08:10:00+01:00,2023-02-01,08:10:00,-1.658,48.091,35238,35,Rennes,Rennes Métropole,France,2023-02-01T08:20:00+01:00,2023-02-01,08:20:00,-1.693,48.040,35066,35,Chartres-de-Bretagne,Rennes Métropole,France,1,B,8346,8,NON
12312294,235404e6-daf0-4475-b192-499e50ca13b5,2023-02-01T08:10:00+01:00,2023-02-01,08:10:00,-1.751,48.028,35047,35,Bruz,Rennes Métropole,France,2023-02-01T08:40:00+01:00,2023-02-01,08:40:00,-1.668,48.106,35238,35,Rennes,Rennes Métropole,France,1,C,12855,24,OUI
