Rentrée scolaire,Académie,Code du département,Département,UAI,Nom de l'établissment,Code INSEE de la commune,Nom de la commune,Secteur,IPS
2020-2021,RENNES,035,ILLE-ET-VILAINE,0352258P,ECOLE ELEMENTAIRE PUBLIQUE VOLGA,35238,RENNES,public,82.7
2020-2021,RENNES,035,ILLE-ET-VILAINE,0352271D,ECOLE ELEMENTAIRE PUBLIQUE GUYENNE,35238,RENNES,public,69.3
2020-2021,RENNES,035,ILLE-ET-VILAINE,0352306S,ECOLE ELEMENTAIRE PUBLIQUE L AUDITOIRE,35066,CHARTRES DE BRETAGNE,public,106.4
2020-2021,RENNES,035,ILLE-ET-VILAINE,0352324L,ECOLE ELEMENTAIRE PUBLIQUE LE CLOS JOURY,35240,LE RHEU,public,121.3
2020-2021,RENNES,035,ILLE-ET-VILAINE,0352362C,ECOLE PRIMAIRE PRIVEE NOTRE DAME,35051,CESSON SEVIGNE,privé sous contrat,141.8
2020-2021,RENNES,035,ILLE-ET-VILAINE,0352376T,ECOLE PRIMAIRE PRIVEE STE MARIE,35238,RENNES,privé sous contrat,119.1
2020-2021,RENNES,035,ILLE-ET-VILAINE,0352377U,ECOLE PRIMAIRE PRIVEE STE ANNE ST JOSEPH,35210,PACE,privé sous contrat,134.6
2020-2021,RENNES,035,ILLE-ET-VILAINE,0352485L,ECOLE PRIMAIRE PRIVEE L IMMACULEE,35196,MORDELLES,privé sous contrat,114.5
2020-2021,RENNES,035,ILLE-ET-VILAINE,0352500C,ECOLE PRIMAIRE PRIVEE DIWAN,35238,RENNES,privé sous contrat,128.1
2020-2021,RENNES,035,ILLE-ET-VILAINE,0352517W,ECOLE PRIMAIRE PRIVEE NOTRE DAME DES MIRACLES,35238,RENNES,privé sous contrat,118.8
2020-2021,RENNES,035,ILLE-ET-VILAINE,0352668K,ECOLE ELEMENTAIRE PUBLIQUE GANTELLES,35238,RENNES,public,91.9
2021-2022,RENNES,035,ILLE-ET-VILAINE,0352329S,ECOLE ELEMENTAIRE PUBLIQUE LA GABILLAIS,35240,LE RHEU,public,120.3
2021-2022,RENNES,035,ILLE-ET-VILAINE,0352335Y,ECOLE PRIMAIRE PRIVEE STE BERNADETTE,35238,RENNES,privé sous contrat,126.8
2021-2022,RENNES,035,ILLE-ET-VILAINE,0352362C,ECOLE PRIMAIRE PRIVEE NOTRE DAME,35051,CESSON SEVIGNE,privé sous contrat,142.4
2021-2022,RENNES,035,ILLE-ET-VILAINE,0352377U,ECOLE PRIMAIRE PRIVEE STE ANNE ST JOSEPH,35210,PACE,privé sous contrat,137.0
2021-2022,RENNES,035,ILLE-ET-VILAINE,0352411F,ECOLE PRIMAIRE PRIVEE ST YVES,35238,RENNES,privé sous contrat,135.2
2021-2022,RENNES,035,ILLE-ET-VILAINE,0352487N,ECOLE PRIMAIRE PRIVEE STE MARIE,35240,LE RHEU,privé sous contrat,122.9
2021-2022,RENNES,035,ILLE-ET-VILAINE,0352559S,ECOLE PRIMAIRE PUBLIQUE SONIA DELAUNAY,35238,RENNES,public,84.4
2020-2021,RENNES,035,ILLE-ET-VILAINE,0350153B,ECOLE PRIMAIRE PUBLIQUE AUX QUATRE VENTS,35039,BRECE,public,111.7
2020-2021,RENNES,035,ILLE-ET-VILAINE,0350174Z,ECOLE ELEMENTAIRE PUBLIQUE GEORGES MARTINAIS,35059,LA CHAPELLE DES FOUGERETZ,public,120.8
2020-2021,RENNES,035,ILLE-ET-VILAINE,0350192U,ECOLE ELEMENTAIRE PUBLIQUE DE CHAVAGNE,35076,CHAVAGNE,public,112.2
2020-2021,RENNES,035,ILLE-ET-VILAINE,0350266Z,ECOLE ELEMENTAIRE PUBLIQUE LEONARD DE VINCI,35120,GEVEZE,public,120.7
2020-2021,RENNES,035,ILLE-ET-VILAINE,0350294E,ECOLE PRIMAIRE PUBLIQUE HENRI DES,35135,IRODOUER,public,104.1
2020-2021,RENNES,035,ILLE-ET-VILAINE,0350467T,ECOLE PRIMAIRE PUBLIQUE LUCIE AUBRAC,35363,PONT PEAN,public,116.9
2020-2021,RENNES,035,ILLE-ET-VILAINE,0350624N,ECOLE ELEMENTAIRE PUBLIQUE CONTOUR SAINT AUBIN,35238,RENNES,public,130.1
2020-2021,RENNES,035,ILLE-ET-VILAINE,0351022W,ECOLE ELEMENTAIRE PUBLIQUE LA CHESNAYE,35196,MORDELLES,public,107.2
2020-2021,RENNES,035,ILLE-ET-VILAINE,0351182V,ECOLE ELEMENTAIRE PRIVEE NOTRE DAME,35022,BECHEREL,privé sous contrat,106.8
2020-2021,RENNES,035,ILLE-ET-VILAINE,0351245N,ECOLE PRIMAIRE PRIVEE ST AMAND,35206,NOYAL CHATILLON SUR SEICHE,privé sous contrat,129.1
2020-2021,RENNES,035,ILLE-ET-VILAINE,0351254Y,ECOLE PRIMAIRE PRIVEE ST JOSEPH,35080,CINTRE,privé sous contrat,118.0
2020-2021,RENNES,035,ILLE-ET-VILAINE,0351267M,ECOLE PRIMAIRE PRIVEE ST JOSEPH,35088,CORPS NUDS,privé sous contrat,124.3
2020-2021,RENNES,035,ILLE-ET-VILAINE,0351492G,ECOLE PRIMAIRE PRIVEE ST CLEMENT,35238,RENNES,privé sous contrat,107.3
2020-2021,RENNES,035,ILLE-ET-VILAINE,0351498N,ECOLE PRIMAIRE PRIVEE ST MICHEL,35238,RENNES,privé sous contrat,132.7
2020-2021,RENNES,035,ILLE-ET-VILAINE,0351512D,ECOLE PRIMAIRE PRIVEE STE JEANNE D ARC,35238,RENNES,privé sous contrat,140.0
2020-2021,RENNES,035,ILLE-ET-VILAINE,0351516H,ECOLE PRIMAIRE PRIVEE ST JOSEPH,35238,RENNES,privé sous contrat,121.2
2020-2021,RENNES,035,ILLE-ET-VILAINE,0351522P,ECOLE PRIMAIRE PRIVEE ST JEAN STE THERESE,35238,RENNES,privé sous contrat,131.1
2020-2021,RENNES,035,ILLE-ET-VILAINE,0351561G,ECOLE PRIMAIRE PRIVEE NOTRE DAME,35353,VEZIN LE COQUET,privé sous contrat,123.8
2020-2021,RENNES,035,ILLE-ET-VILAINE,0351619V,ECOLE ELEMENTAIRE PUBLIQUE ERIC TABARLY,35353,VEZIN LE COQUET,public,99.0
2020-2021,RENNES,035,ILLE-ET-VILAINE,0351657L,ECOLE ELEMENTAIRE PUBLIQUE LEONARD DE VINCI,35139,LAILLE,public,118.8
2021-2022,RENNES,035,ILLE-ET-VILAINE,0352376T,ECOLE PRIMAIRE PRIVEE STE MARIE,35238,RENNES,privé sous contrat,125.6
2021-2022,RENNES,035,ILLE-ET-VILAINE,0352387E,ECOLE ELEMENTAIRE PUBLIQUE LA CHALOTAIS,35352,VERN SUR SEICHE,public,113.4
2021-2022,RENNES,035,ILLE-ET-VILAINE,0352390H,ECOLE PRIMAIRE PUBLIQUE ROGER BEAULIEU,35065,LA CHAPELLE THOUARAULT,public,110.6
2021-2022,RENNES,035,ILLE-ET-VILAINE,0352410E,ECOLE PRIMAIRE PRIVEE ST JEAN BOSCO,35238,RENNES,privé sous contrat,96.3
2021-2022,RENNES,035,ILLE-ET-VILAINE,0352437J,ECOLE ELEMENTAIRE PUBLIQUE SUZANNE LACORE,35281,SAINT JACQUES DE LA LANDE,public,96.1
2021-2022,RENNES,035,ILLE-ET-VILAINE,0352485L,ECOLE PRIMAIRE PRIVEE L IMMACULEE,35196,MORDELLES,privé sous contrat,115.5
2021-2022,RENNES,035,ILLE-ET-VILAINE,0352500C,ECOLE PRIMAIRE PRIVEE DIWAN,35238,RENNES,privé sous contrat,133.3
2021-2022,RENNES,035,ILLE-ET-VILAINE,0352520Z,ECOLE PRIMAIRE PUBLIQUE LES LANDES,35055,CHANTEPIE,public,111.7
2021-2022,RENNES,035,ILLE-ET-VILAINE,0352668K,ECOLE ELEMENTAIRE PUBLIQUE GANTELLES,35238,RENNES,public,87.9
2021-2022,RENNES,035,ILLE-ET-VILAINE,0352669L,ECOLE ELEMENTAIRE PUBLIQUE PASCAL LAFAYE,35238,RENNES,public,80.8
2020-2021,RENNES,035,ILLE-ET-VILAINE,0350197Z,ECOLE PRIMAIRE PUBLIQUE DE CLAYES,35081,CLAYES,public,109.2
2020-2021,RENNES,035,ILLE-ET-VILAINE,0350362D,ECOLE ELEMENTAIRE PUBLIQUE GERARD PHILIPE,35189,MONTGERMONT,public,121.3
2020-2021,RENNES,035,ILLE-ET-VILAINE,0350603R,ECOLE ELEMENTAIRE PUBLIQUE PABLO PICASSO,35238,RENNES,public,116.6
2020-2021,RENNES,035,ILLE-ET-VILAINE,0350627S,ECOLE ELEMENTAIRE PUBLIQUE DUCHESSE ANNE,35238,RENNES,public,127.7
2020-2021,RENNES,035,ILLE-ET-VILAINE,0350635A,ECOLE ELEMENTAIRE PUBLIQUE POTERIE,35238,RENNES,public,117.6
2020-2021,RENNES,035,ILLE-ET-VILAINE,0350639E,ECOLE ELEMENTAIRE PUBLIQUE VILLENEUVE,35238,RENNES,public,144.4
2020-2021,RENNES,035,ILLE-ET-VILAINE,0350671P,ECOLE PRIMAIRE PUBLIQUE DE LA VALLEE DU ROHUEL,35351,LE VERGER,public,116.6
2020-2021,RENNES,035,ILLE-ET-VILAINE,0350103X,ECOLE ELEMENTAIRE PUBLIQUE LE CHEVRE,35001,ACIGNE,public,129.1
2020-2021,RENNES,035,ILLE-ET-VILAINE,0350208L,ECOLE PRIMAIRE PUBLIQUE JACQUES YVES COUSTEAU,35088,CORPS NUDS,public,116.9
2020-2021,RENNES,035,ILLE-ET-VILAINE,0350296G,ECOLE ELEMENTAIRE PUBLIQUE LE CHAT PERCHE,35136,JANZE,public,106.0
2020-2021,RENNES,035,ILLE-ET-VILAINE,0351064S,ECOLE PRIMAIRE PRIVEE NOTRE DAME,35139,LAILLE,privé sous contrat,127.1
2020-2021,RENNES,035,ILLE-ET-VILAINE,0351126J,ECOLE PRIMAIRE PRIVEE NOTRE DAME,35189,MONTGERMONT,privé sous contrat,127.2
2020-2021,RENNES,035,ILLE-ET-VILAINE,0351151L,ECOLE PRIMAIRE PRIVEE LE SACRE COEUR,35208,ORGERES,privé sous contrat,123.7
2020-2021,RENNES,035,ILLE-ET-VILAINE,0351197L,ECOLE PRIMAIRE PRIVEE L ARCHE DE NOE,35032,BOURGBARRE,privé sous contrat,127.3
2020-2021,RENNES,035,ILLE-ET-VILAINE,0351214E,ECOLE PRIMAIRE PRIVEE LA PROVIDENCE CENTRE,35047,BRUZ,privé sous contrat,132.5
2020-2021,RENNES,035,ILLE-ET-VILAINE,0351230X,ECOLE PRIMAIRE PRIVEE NOTRE DAME,35059,LA CHAPELLE DES FOUGERETZ,privé sous contrat,134.3
2020-2021,RENNES,035,ILLE-ET-VILAINE,0351349B,ECOLE PRIMAIRE PRIVEE ST JOSEPH,35131,L HERMITAGE,privé sous contrat,114.3
2020-2021,RENNES,035,ILLE-ET-VILAINE,0351369Y,ECOLE PRIMAIRE PRIVEE LE SACRE COEUR,35275,SAINT GILLES,privé sous contrat,127.3
2020-2021,RENNES,035,ILLE-ET-VILAINE,0351421E,ECOLE PRIMAIRE PRIVEE FREDERIC OZANAM,35310,SAINT SAUVEUR DES LANDES,privé sous contrat,107.2
2020-2021,RENNES,035,ILLE-ET-VILAINE,0351558D,ECOLE PRIMAIRE PRIVEE STE BERNADETTE,35351,LE VERGER,privé sous contrat,116.7
2020-2021,RENNES,035,ILLE-ET-VILAINE,0351686T,ECOLE PRIMAIRE PUBLIQUE FRANCOISE DOLTO,35032,BOURGBARRE,public,124.6
2020-2021,RENNES,035,ILLE-ET-VILAINE,0351714Y,ECOLE PRIMAIRE PRIVEE ST ARMEL,35238,RENNES,privé sous contrat,75.1
2020-2021,RENNES,035,ILLE-ET-VILAINE,0351765D,ECOLE ELEMENTAIRE PUBLIQUE LES GRANDS PRES VERTS,35334,THORIGNE FOUILLARD,public,122.8
2020-2021,RENNES,035,ILLE-ET-VILAINE,0351774N,ECOLE ELEMENTAIRE PUBLIQUE LIBERTE,35238,RENNES,public,124.2
2020-2021,RENNES,035,ILLE-ET-VILAINE,0351786B,ECOLE PRIMAIRE PUBLIQUE LOUISE MICHEL,35266,SAINT ERBLON,public,116.1
2020-2021,RENNES,035,ILLE-ET-VILAINE,0351829Y,ECOLE ELEMENTAIRE PUBLIQUE LEON GRIMAULT,35238,RENNES,public,106.5
2020-2021,RENNES,035,ILLE-ET-VILAINE,0352055U,ECOLE ELEMENTAIRE PUBLIQUE LOUISE MICHEL,35238,RENNES,public,116.4
2020-2021,RENNES,035,ILLE-ET-VILAINE,0352150X,ECOLE ELEMENTAIRE PUBLIQUE TORIGNE,35238,RENNES,public,68.8
2020-2021,RENNES,035,ILLE-ET-VILAINE,0352158F,ECOLE ELEMENTAIRE PUBLIQUE JEAN ROSTAND,35238,RENNES,public,103.5
2020-2021,RENNES,035,ILLE-ET-VILAINE,0352187M,ECOLE ELEMENTAIRE PUBLIQUE CLEMENCEAU,35238,RENNES,public,77.8
2020-2021,RENNES,035,ILLE-ET-VILAINE,0352344H,ECOLE PRIMAIRE PRIVEE STE MARIE,35066,CHARTRES DE BRETAGNE,privé sous contrat,127.3
2020-2021,RENNES,035,ILLE-ET-VILAINE,0352387E,ECOLE ELEMENTAIRE PUBLIQUE LA CHALOTAIS,35352,VERN SUR SEICHE,public,116.8
2020-2021,RENNES,035,ILLE-ET-VILAINE,0352391J,ECOLE PRIMAIRE PUBLIQUE EUGENE POTTIER,35281,SAINT JACQUES DE LA LANDE,public,99.2
2020-2021,RENNES,035,ILLE-ET-VILAINE,0352437J,ECOLE PRIMAIRE PUBLIQUE SUZANNE LACORE,35281,SAINT JACQUES DE LA LANDE,public,96.6
2020-2021,RENNES,035,ILLE-ET-VILAINE,0352520Z,ECOLE PRIMAIRE PUBLIQUE LES LANDES,35055,CHANTEPIE,public,115.1
2020-2021,RENNES,035,ILLE-ET-VILAINE,0352521A,ECOLE ELEMENTAIRE PUBLIQUE LES DEUX RUISSEAUX,35055,CHANTEPIE,public,108.8
2021-2022,RENNES,035,ILLE-ET-VILAINE,0350173Y,ECOLE PRIMAIRE PUBLIQUE LE CHEMIN NEUF,35058,LA CHAPELLE CHAUSSEE,public,111.9
2021-2022,RENNES,035,ILLE-ET-VILAINE,0350192U,ECOLE ELEMENTAIRE PUBLIQUE DE CHAVAGNE,35076,CHAVAGNE,public,111.5
2021-2022,RENNES,035,ILLE-ET-VILAINE,0350196Y,ECOLE PRIMAIRE PUBLIQUE ARC EN CIEL,35080,CINTRE,public,116.4
2021-2022,RENNES,035,ILLE-ET-VILAINE,0350266Z,ECOLE ELEMENTAIRE PUBLIQUE LEONARD DE VINCI,35120,GEVEZE,public,120.9
2021-2022,RENNES,035,ILLE-ET-VILAINE,0350430C,ECOLE PRIMAIRE PUBLIQUE MOIGNE,35240,LE RHEU,public,123.9
2021-2022,RENNES,035,ILLE-ET-VILAINE,0350445U,ECOLE PRIMAIRE PUBLIQUE LES BOSCHAUX,35250,SAINT ARMEL,public,111.9
2021-2022,RENNES,035,ILLE-ET-VILAINE,0350552K,ECOLE PRIMAIRE PUBLIQUE NIKI DE SAINT PHALLE,35315,SAINT SULPICE LA FORET,public,125.8
2021-2022,RENNES,035,ILLE-ET-VILAINE,0350592D,ECOLE ELEMENTAIRE PUBLIQUE JOSEPH LOTTE,35238,RENNES,public,121.6
2021-2022,RENNES,035,ILLE-ET-VILAINE,0350631W,ECOLE ELEMENTAIRE PUBLIQUE MOULIN DU COMTE,35238,RENNES,public,93.4
2021-2022,RENNES,035,ILLE-ET-VILAINE,0350639E,ECOLE ELEMENTAIRE PUBLIQUE VILLENEUVE,35238,RENNES,public,141.8
2021-2022,RENNES,035,ILLE-ET-VILAINE,0351213D,ECOLE PRIMAIRE PRIVEE LA PROVIDENCE VERT BUISSON,35047,BRUZ,privé sous contrat,129.6
2021-2022,RENNES,035,ILLE-ET-VILAINE,0351372B,ECOLE PRIMAIRE PRIVEE NOTRE DAME,35278,SAINT GREGOIRE,privé sous contrat,141.3
2021-2022,RENNES,035,ILLE-ET-VILAINE,0351502T,ECOLE PRIMAIRE PRIVEE ST VINCENT PROVIDENCE,35238,RENNES,privé sous contrat,144.4
2021-2022,RENNES,035,ILLE-ET-VILAINE,0351657L,ECOLE ELEMENTAIRE PUBLIQUE LEONARD DE VINCI,35139,LAILLE,public,120.3
2021-2022,RENNES,035,ILLE-ET-VILAINE,0351714Y,ECOLE PRIMAIRE PRIVEE ST ARMEL,35238,RENNES,privé sous contrat,74.5
2021-2022,RENNES,035,ILLE-ET-VILAINE,0351765D,ECOLE ELEMENTAIRE PUBLIQUE LES GRANDS PRES VERTS,35334,THORIGNE FOUILLARD,public,123.2
2021-2022,RENNES,035,ILLE-ET-VILAINE,0351774N,ECOLE ELEMENTAIRE PUBLIQUE LIBERTE,35238,RENNES,public,122.1
2021-2022,RENNES,035,ILLE-ET-VILAINE,0351806Y,ECOLE ELEMENTAIRE PUBLIQUE LES OMBLAIS,35024,BETTON,public,128.7
2021-2022,RENNES,035,ILLE-ET-VILAINE,0351829Y,ECOLE ELEMENTAIRE PUBLIQUE LEON GRIMAULT,35238,RENNES,public,101.4
2021-2022,RENNES,035,ILLE-ET-VILAINE,0351894U,ECOLE ELEMENTAIRE PUBLIQUE BOURGCHEVREUIL,35051,CESSON SEVIGNE,public,136.6
2021-2022,RENNES,035,ILLE-ET-VILAINE,0352055U,ECOLE ELEMENTAIRE PUBLIQUE LOUISE MICHEL,35238,RENNES,public,115.2
2021-2022,RENNES,035,ILLE-ET-VILAINE,0352056V,ECOLE PRIMAIRE PUBLIQUE LE CHENE CENTENAIRE,35204,NOUVOITOU,public,117.7
2021-2022,RENNES,035,ILLE-ET-VILAINE,0352136G,ECOLE ELEMENTAIRE PUBLIQUE CLOTEAUX,35238,RENNES,public,90.5
2017-2018,RENNES,035,ILLE-ET-VILAINE,0350174Z,ECOLE ELEMENTAIRE PUBLIQUE GEORGES MARTINAIS,35059,LA CHAPELLE DES FOUGERETZ,public,120.1
2017-2018,RENNES,035,ILLE-ET-VILAINE,0350188P,ECOLE PRIMAIRE PUBLIQUE LE CHAT PERCHE,35206,NOYAL CHATILLON SUR SEICHE,public,109.1
2017-2018,RENNES,035,ILLE-ET-VILAINE,0350266Z,ECOLE ELEMENTAIRE PUBLIQUE LEONARD DE VINCI,35120,GEVEZE,public,128.8
2017-2018,RENNES,035,ILLE-ET-VILAINE,0350619H,ECOLE ELEMENTAIRE PUBLIQUE CHATEAUGIRON LANDRY,35238,RENNES,public,120.1
2017-2018,RENNES,035,ILLE-ET-VILAINE,0351022W,ECOLE ELEMENTAIRE PUBLIQUE LA CHESNAYE,35196,MORDELLES,public,114.8
2017-2018,RENNES,035,ILLE-ET-VILAINE,0351267M,ECOLE PRIMAIRE PRIVEE ST JOSEPH,35088,CORPS NUDS,privé sous contrat,125.0
2017-2018,RENNES,035,ILLE-ET-VILAINE,0351372B,ECOLE PRIMAIRE PRIVEE NOTRE DAME,35278,SAINT GREGOIRE,privé sous contrat,139.6
2017-2018,RENNES,035,ILLE-ET-VILAINE,0351492G,ECOLE PRIMAIRE PRIVEE ST CLEMENT,35238,RENNES,privé sous contrat,111.1
2017-2018,RENNES,035,ILLE-ET-VILAINE,0351572U,ECOLE PRIMAIRE PRIVEE MONTESSORI,35238,RENNES,privé sous contrat,136.1
2017-2018,RENNES,035,ILLE-ET-VILAINE,0351619V,ECOLE ELEMENTAIRE PUBLIQUE ERIC TABARLY,35353,VEZIN LE COQUET,public,110.0
2017-2018,RENNES,035,ILLE-ET-VILAINE,0351657L,ECOLE ELEMENTAIRE PUBLIQUE LEONARD DE VINCI,35139,LAILLE,public,126.9
2017-2018,RENNES,035,ILLE-ET-VILAINE,0351774N,ECOLE ELEMENTAIRE PUBLIQUE LIBERTE,35238,RENNES,public,129.1
2017-2018,RENNES,035,ILLE-ET-VILAINE,0351823S,ECOLE ELEMENTAIRE PUBLIQUE EUGENE ALLANIC,35131,L HERMITAGE,public,118.0
2017-2018,RENNES,035,ILLE-ET-VILAINE,0351826V,ECOLE PRIMAIRE PRIVEE STE THERESE,35200,MOUTIERS,privé sous contrat,94.6
2017-2018,RENNES,035,ILLE-ET-VILAINE,0351829Y,ECOLE ELEMENTAIRE PUBLIQUE LEON GRIMAULT,35238,RENNES,public,106.0
2017-2018,RENNES,035,ILLE-ET-VILAINE,0351859F,ECOLE ELEMENTAIRE PUBLIQUE BEAUSOLEIL,35051,CESSON SEVIGNE,public,134.2
2017-2018,RENNES,035,ILLE-ET-VILAINE,0352134E,ECOLE ELEMENTAIRE PUBLIQUE GUY GERARD,35210,PACE,public,124.1
2017-2018,RENNES,035,ILLE-ET-VILAINE,0352137H,ECOLE ELEMENTAIRE PUBLIQUE OLYMPE DE GOUGES,35281,SAINT JACQUES DE LA LANDE,public,106.5
2017-2018,RENNES,035,ILLE-ET-VILAINE,0352150X,ECOLE ELEMENTAIRE PUBLIQUE TORIGNE,35238,RENNES,public,71.2
2017-2018,RENNES,035,ILLE-ET-VILAINE,0352271D,ECOLE ELEMENTAIRE PUBLIQUE GUYENNE,35238,RENNES,public,71.4
2017-2018,RENNES,035,ILLE-ET-VILAINE,0352308U,ECOLE PRIMAIRE PRIVEE MARCEL CALLO,35238,RENNES,privé sous contrat,133.4
2017-2018,RENNES,035,ILLE-ET-VILAINE,0352387E,ECOLE ELEMENTAIRE PUBLIQUE LA CHALOTAIS,35352,VERN SUR SEICHE,public,122.4
2017-2018,RENNES,035,ILLE-ET-VILAINE,0352390H,ECOLE PRIMAIRE PUBLIQUE ROGER BEAULIEU,35065,LA CHAPELLE THOUARAULT,public,110.0
2017-2018,RENNES,035,ILLE-ET-VILAINE,0352521A,ECOLE ELEMENTAIRE PUBLIQUE LES DEUX RUISSEAUX,35055,CHANTEPIE,public,112.1
2017-2018,RENNES,035,ILLE-ET-VILAINE,0352559S,ECOLE PRIMAIRE PUBLIQUE SONIA DELAUNAY,35238,RENNES,public,92.1
2017-2018,RENNES,035,ILLE-ET-VILAINE,0352667J,ECOLE ELEMENTAIRE PUBLIQUE ILLE,35238,RENNES,public,107.5
2017-2018,RENNES,035,ILLE-ET-VILAINE,0352668K,ECOLE ELEMENTAIRE PUBLIQUE GANTELLES,35238,RENNES,public,95.6
2017-2018,RENNES,035,ILLE-ET-VILAINE,0352674S,ECOLE ELEMENTAIRE PUBLIQUE LE VERT BUISSON,35047,BRUZ,public,119.8
2018-2019,RENNES,035,ILLE-ET-VILAINE,0350153B,ECOLE PRIMAIRE PUBLIQUE AUX QUATRE VENTS,35039,BRECE,public,111.7
2018-2019,RENNES,035,ILLE-ET-VILAINE,0350188P,ECOLE PRIMAIRE PUBLIQUE LE CHAT PERCHE,35206,NOYAL CHATILLON SUR SEICHE,public,110.1
2018-2019,RENNES,035,ILLE-ET-VILAINE,0350467T,ECOLE PRIMAIRE PUBLIQUE LUCIE AUBRAC,35363,PONT PEAN,public,118.3
2018-2019,RENNES,035,ILLE-ET-VILAINE,0350603R,ECOLE ELEMENTAIRE PUBLIQUE PABLO PICASSO,35238,RENNES,public,119.9
2018-2019,RENNES,035,ILLE-ET-VILAINE,0350624N,ECOLE ELEMENTAIRE PUBLIQUE CONTOUR SAINT AUBIN,35238,RENNES,public,130.0
2018-2019,RENNES,035,ILLE-ET-VILAINE,0350638D,ECOLE ELEMENTAIRE PUBLIQUE CARLE BAHON,35238,RENNES,public,128.1
2018-2019,RENNES,035,ILLE-ET-VILAINE,0351022W,ECOLE ELEMENTAIRE PUBLIQUE LA CHESNAYE,35196,MORDELLES,public,113.5
2018-2019,RENNES,035,ILLE-ET-VILAINE,0351253X,ECOLE PRIMAIRE PRIVEE STE THERESE,35079,CHEVAIGNE,privé sous contrat,132.0
2018-2019,RENNES,035,ILLE-ET-VILAINE,0351267M,ECOLE PRIMAIRE PRIVEE ST JOSEPH,35088,CORPS NUDS,privé sous contrat,129.7
2018-2019,RENNES,035,ILLE-ET-VILAINE,0351349B,ECOLE PRIMAIRE PRIVEE ST JOSEPH,35131,L HERMITAGE,privé sous contrat,116.5
2018-2019,RENNES,035,ILLE-ET-VILAINE,0351494J,ECOLE PRIMAIRE PRIVEE NOTRE DAME DU VIEUX COURS,35238,RENNES,privé sous contrat,126.5
2018-2019,RENNES,035,ILLE-ET-VILAINE,0351498N,ECOLE PRIMAIRE PRIVEE ST MICHEL,35238,RENNES,privé sous contrat,128.2
2018-2019,RENNES,035,ILLE-ET-VILAINE,0351502T,ECOLE PRIMAIRE PRIVEE ST VINCENT PROVIDENCE,35238,RENNES,privé sous contrat,144.8
2018-2019,RENNES,035,ILLE-ET-VILAINE,0351512D,ECOLE PRIMAIRE PRIVEE STE JEANNE D ARC,35238,RENNES,privé sous contrat,137.0
2018-2019,RENNES,035,ILLE-ET-VILAINE,0351619V,ECOLE ELEMENTAIRE PUBLIQUE ERIC TABARLY,35353,VEZIN LE COQUET,public,107.0
2018-2019,RENNES,035,ILLE-ET-VILAINE,0351699G,ECOLE PRIMAIRE PRIVEE ST JOSEPH,35055,CHANTEPIE,privé sous contrat,128.5
2018-2019,RENNES,035,ILLE-ET-VILAINE,0351736X,ECOLE PRIMAIRE PRIVEE STE MARIE,35120,GEVEZE,privé sous contrat,128.8
2018-2019,RENNES,035,ILLE-ET-VILAINE,0352096N,ECOLE PRIMAIRE PUBLIQUE MONTAUBERT,35150,LECOUSSE,public,112.1
2018-2019,RENNES,035,ILLE-ET-VILAINE,0352134E,ECOLE ELEMENTAIRE PUBLIQUE GUY GERARD,35210,PACE,public,123.5
2018-2019,RENNES,035,ILLE-ET-VILAINE,0352136G,ECOLE ELEMENTAIRE PUBLIQUE CLOTEAUX,35238,RENNES,public,93.1
2018-2019,RENNES,035,ILLE-ET-VILAINE,0352187M,ECOLE ELEMENTAIRE PUBLIQUE CLEMENCEAU,35238,RENNES,public,80.2
2018-2019,RENNES,035,ILLE-ET-VILAINE,0352241W,ECOLE PRIMAIRE PUBLIQUE JACQUES PREVERT,35047,BRUZ,public,117.2
2018-2019,RENNES,035,ILLE-ET-VILAINE,0352271D,ECOLE ELEMENTAIRE PUBLIQUE GUYENNE,35238,RENNES,public,70.8
2018-2019,RENNES,035,ILLE-ET-VILAINE,0352308U,ECOLE PRIMAIRE PRIVEE MARCEL CALLO,35238,RENNES,privé sous contrat,133.4
2018-2019,RENNES,035,ILLE-ET-VILAINE,0352324L,ECOLE ELEMENTAIRE PUBLIQUE LE CLOS JOURY,35240,LE RHEU,public,123.8
2018-2019,RENNES,035,ILLE-ET-VILAINE,0352363D,ECOLE PRIMAIRE PRIVEE LE SACRE COEUR,35136,JANZE,privé sous contrat,118.3
2018-2019,RENNES,035,ILLE-ET-VILAINE,0352376T,ECOLE PRIMAIRE PRIVEE STE MARIE,35238,RENNES,privé sous contrat,121.1
2018-2019,RENNES,035,ILLE-ET-VILAINE,0352410E,ECOLE PRIMAIRE PRIVEE ST JEAN BOSCO,35238,RENNES,privé sous contrat,91.7
2018-2019,RENNES,035,ILLE-ET-VILAINE,0352433E,ECOLE PRIMAIRE PUBLIQUE ROBERT DOISNEAU,35238,RENNES,public,103.4
2018-2019,RENNES,035,ILLE-ET-VILAINE,0352517W,ECOLE PRIMAIRE PRIVEE NOTRE DAME DES MIRACLES,35238,RENNES,privé sous contrat,118.2
2016-2017,RENNES,035,ILLE-ET-VILAINE,0350192U,ECOLE ELEMENTAIRE PUBLIQUE DE CHAVAGNE,35076,CHAVAGNE,public,122.6
2016-2017,RENNES,035,ILLE-ET-VILAINE,0350208L,ECOLE PRIMAIRE PUBLIQUE JACQUES YVES COUSTEAU,35088,CORPS NUDS,public,116.2
