SIREN,Nom ou raison sociale de l'entreprise,Famille juridique de l'entreprise,Code postal,Libellé de la commune de l'établissement,Code du département de l'établissement,Département de l'établissement,Région de l'établissement
488699208,COMPAGNIE ZUSVEX,Associations,35700,RENNES,35,ILLE ET VILAINE,BRETAGNE
799579537,CLUB AMITIE - LOISIRS,Associations,35150,CORPS-NUDS,35,ILLE ET VILAINE,BRETAGNE
797778644,DEFENSE ET PROTECTION DU SITE DE LA FOUAYE,Associations,35590,SAINT-GILLES,35,ILLE ET VILAINE,BRETAGNE
950068056,CUMA DU PROGRES,Coopératives,35310,CHAVAGNE,35,ILLE ET VILAINE,BRETAGNE
812650018,ASSOCIATION DU HAMEAU DE CROZON,Associations,35760,SAINT-GREGOIRE,35,ILLE ET VILAINE,BRETAGNE
812650927,ALEXIS DANAN DE BRETAGNE,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
797779139,COMPAGNIE KOLAM  DIC'HORTOZ,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
818139321,COMITE DES FETES DU VERGER,Associations,35160,LE VERGER,35,ILLE ET VILAINE,BRETAGNE
818142051,ASSOCIATION DES PARENTS D'ELEVES DU HAUT-CHEMIN (APEHC).,Associations,35740,PACE,35,ILLE ET VILAINE,BRETAGNE
849832134,LES TAMBOURS DU MARACATU,Associations,35136,SAINT-JACQUES-DE-LA-LANDE,35,ILLE ET VILAINE,BRETAGNE
350102091,ORCHESTRE NATIONAL DE BRETAGNE,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
835335027,MOUVEMENT CITOYENS ALTERNATIFS,Associations,35200,RENNES,35,ILLE ET VILAINE,BRETAGNE
350103230,ASS DIFFUS RECHERCHE ARCHEOLOGIQUE OUEST,Associations,35700,RENNES,35,ILLE ET VILAINE,BRETAGNE
350103792,ASSOCIATION YIN YANG,Associations,35700,RENNES,35,ILLE ET VILAINE,BRETAGNE
409372513,ASSOCIATION INFOTRANS BRETAGNE,Associations,35510,CESSON-SEVIGNE,35,ILLE ET VILAINE,BRETAGNE
850613159,CAFOUTCHI,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
388426314,ORGUE ET LITURGIE 35,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
751534108,SAHARA SANTE FRANCE,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
835335902,"NOUS, HABITANTS",Associations,35135,CHANTEPIE,35,ILLE ET VILAINE,BRETAGNE
509204731,FEDERATION DES ASSOCIATIONS UNIVERSITE DE RENNES 2 FEDERATION RENNES 2,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
491226114,IF2O,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
792211641,LE VILLAGE DES CASTORS,Associations,35200,RENNES,35,ILLE ET VILAINE,BRETAGNE
822022067,ASSOCIATION VIVE LES SVT,Associations,35760,SAINT-GREGOIRE,35,ILLE ET VILAINE,BRETAGNE
792211658,PRISE DE BEC (ET D'EMBOUCHURE),Associations,35310,MORDELLES,35,ILLE ET VILAINE,BRETAGNE
391661212,ESCAMPETTE,Associations,35830,BETTON,35,ILLE ET VILAINE,BRETAGNE
450666169,KALI & CO,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
841324551,THE LEARNING SHOW,Associations,35590,SAINT-GILLES,35,ILLE ET VILAINE,BRETAGNE
798797221,ASSOCIATION DE PARENTS D'ELEVES CHAMBOULETOUT,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
950471003,RENNES DANSE ET PATINAGE SUR GLACE,Associations,35700,RENNES,35,ILLE ET VILAINE,BRETAGNE
798800546,ARTODOMO,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
842329674,ATMA SHANTI YOGA,Associations,35740,PACE,35,ILLE ET VILAINE,BRETAGNE
409415304,COMPAGNIE DU VIS A VIS,Associations,35740,PACE,35,ILLE ET VILAINE,BRETAGNE
409415486,LES CHANTS D'ORGE,Associations,35230,ORGERES,35,ILLE ET VILAINE,BRETAGNE
923412050,LOWLIGHT,Associations,35200,RENNES,35,ILLE ET VILAINE,BRETAGNE
851959072,SWINGIN' IN THE RENNES,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
433077187,COMITE COORDINATION DU COMMERCE RENNAIS,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
487557613,SPORTS ET PLAISIRS,Associations,35590,CLAYES,35,ILLE ET VILAINE,BRETAGNE
447915968,WONDER BROS,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
890698541,CHIC FILLE,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
825140130,MYSTERIOUS OPUS COMPAGNIE,Associations,35700,RENNES,35,ILLE ET VILAINE,BRETAGNE
403631534,U.F.S.B.D. 35,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
849442959,THE HUMAN TREE,Associations,35170,BRUZ,35,ILLE ET VILAINE,BRETAGNE
418253126,COMITE BRETON D'HISTOIRE SECURITE SOCIAL,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
