date_mesure,geocode_commune,libelle_commune,type_eau,usage,valeur
2008-01-01,35132,Hirel,eaux douces superficielles,industrie et autres usages économiques,0.0
2008-01-01,35132,Hirel,eaux douces superficielles,refroidissement des centrales électriques,0.0
2008-01-01,35132,Hirel,eaux saumâtres,refroidissement des centrales électriques,0.0
2008-01-01,35135,Irodouër,eaux douces souterraines,agriculture,0.0
2008-01-01,35135,Irodouër,eaux douces souterraines,eau potable,0.0
2008-01-01,35135,Irodouër,eaux douces souterraines,industrie et autres usages économiques,0.0
2008-01-01,35135,Irodouër,eaux douces souterraines,refroidissement des centrales électriques,0.0
2008-01-01,35135,Irodouër,eaux douces superficielles,agriculture,0.0
2008-01-01,35135,Irodouër,eaux douces superficielles,eau potable,0.0
2008-01-01,35135,Irodouër,eaux douces superficielles,industrie et autres usages économiques,0.0
2008-01-01,35135,Irodouër,eaux douces superficielles,refroidissement des centrales électriques,0.0
2008-01-01,35135,Irodouër,eaux saumâtres,refroidissement des centrales électriques,0.0
2008-01-01,35136,Janzé,eaux douces souterraines,agriculture,0.0
2008-01-01,35136,Janzé,eaux douces souterraines,eau potable,0.0
2008-01-01,35136,Janzé,eaux douces souterraines,industrie et autres usages économiques,0.0
2008-01-01,35136,Janzé,eaux douces souterraines,refroidissement des centrales électriques,0.0
2008-01-01,35136,Janzé,eaux douces superficielles,agriculture,35800.0
2008-01-01,35136,Janzé,eaux douces superficielles,eau potable,0.0
2008-01-01,35136,Janzé,eaux douces superficielles,industrie et autres usages économiques,0.0
2008-01-01,35136,Janzé,eaux douces superficielles,refroidissement des centrales électriques,0.0
2008-01-01,35136,Janzé,eaux saumâtres,refroidissement des centrales électriques,0.0
2008-01-01,35139,Laillé,eaux douces souterraines,agriculture,0.0
2008-01-01,35139,Laillé,eaux douces souterraines,eau potable,0.0
2008-01-01,35139,Laillé,eaux douces souterraines,industrie et autres usages économiques,58400.0
2008-01-01,35139,Laillé,eaux douces souterraines,refroidissement des centrales électriques,0.0
2008-01-01,35139,Laillé,eaux douces superficielles,agriculture,21000.0
