Rentrée scolaire,Académie,Code du département,Département,UAI,Nom de l'établissment,Code INSEE de la commune,Nom de la commune,Secteur,Type de lycée,IPS voie GT,IPS voie PRO,IPS Ensemble GT-PRO,Ecart-type de l'IPS voie GT,Ecart-type de l'IPS voie PRO
2017-2018,RENNES,35,ILLE-ET-VILAINE,0351878B,LYCEE PROFESSIONNEL COETLOGON,35238,RENNES,public,LP,,86.1,86.1,,
2017-2018,RENNES,35,ILLE-ET-VILAINE,0351907H,LYCEE GENERAL ET TECHNOLOGIQUE RENE DESCARTES,35238,RENNES,public,LEGT,115.1,,115.1,,
2018-2019,RENNES,35,ILLE-ET-VILAINE,0350710G,LYCEE GENERAL FRANCOIS RENE DE CHATEAUBRIAND,35238,RENNES,public,LPO,136.7,106.3,136.2,,
2018-2019,RENNES,35,ILLE-ET-VILAINE,0350795Z,LYCEE POLYVALENT PRIVE DE LA SALLE LYCEE DES METIERS DE LA GESTION ET DU COMMERCE,35238,RENNES,privé sous contrat,LPO,116.6,100.7,106.3,,
2018-2019,RENNES,35,ILLE-ET-VILAINE,0352009U,LYCEE GENERAL ET TECHNOLOGIQUE VICTOR ET HELENE BASCH,35238,RENNES,public,LEGT,121.4,,121.4,,
2016-2017,RENNES,35,ILLE-ET-VILAINE,0350026N,LYCEE GENERAL ET TECHNOLOGIQUE JEAN MACE,35238,RENNES,public,LEGT,127.7,,127.7,,
2016-2017,RENNES,35,ILLE-ET-VILAINE,0350030T,LYCEE POLYVALENT PIERRE MENDES FRANCE LYCEE DES METIERS DU BATIMENT ET DE L ENERGETIQUE,35238,RENNES,public,LPO,122.6,90.2,104.4,,
2016-2017,RENNES,35,ILLE-ET-VILAINE,0350777E,LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINT MARTIN,35238,RENNES,privé sous contrat,LEGT,135.5,,135.5,,
2016-2017,RENNES,35,ILLE-ET-VILAINE,0350801F,LYCEE GENERAL PRIVE JEAN PAUL II,35278,SAINT GREGOIRE,privé sous contrat,LEGT,132.0,,132.0,,
2016-2017,RENNES,35,ILLE-ET-VILAINE,0351054F,LYCEE PROFESSIONNEL CHARLES TILLON,35238,RENNES,public,LP,,88.2,88.2,,
