Dispositif,Type de structure,Année d'agrément,Type,Désignation,Sigle,Activité,Localisation,Début d'agrément,Fin d'agrément,Numéro SIREN,Base SIRENE : Catégorie de l'établissement siège,Base SIRENE : Code APE de l'établissement siège,Base SIRENE : Activité principale exercée (APE) par l'établissement siège,Code postal,Ville,Téléphone,Lien vers la fiche scanR,Commune,Unité urbaine,Département,Académie,Région,Pays,Code commune (France),Code de l'unité urbaine (France),Code du département (France),Code de l'académie (France),Code de la région (France),Code ISO du Pays,Géolocalisation,type
CII,Organismes privés agréés,"2022,2023,2024,2025,2026",Organisme,BA HEALTHCARE,BAH,Informatique,Bretagne>Rennes>Ille-et-Vilaine>Rennes>Pacé,2022,2026,538744384,PME,2899B,Fabrication d'autres machines spécialisées,35740,PACE,,,Pacé,Rennes,Ille-et-Vilaine,Rennes,Bretagne,France,35210,UU35701,D035,A14,R53,FR,"48.152548244, -1.77716643787",OPA
CII,Organismes privés agréés,"2023,2024,2025",Organisme,STIRWELD,STIRWELD,Mécanique,Bretagne>Rennes>Ille-et-Vilaine>Rennes,2023,2025,832024350,,,,35000,RENNES,,,Rennes,Rennes,Ille-et-Vilaine,Rennes,Bretagne,France,35238,UU35701,D035,A14,R53,FR,"48.1119791219, -1.68186449144",OPA
CII,Organismes privés agréés,"2024,2025,2026",Organisme,INSTITUT MAUPERTUIS,IM,Génie électronique,Bretagne>Rennes>Ille-et-Vilaine>Rennes>Bruz,2024,2026,451864383,PME,7219Z,Recherche-développement : autres sciences physiques et naturelles,35170,BRUZ,,,Bruz,Rennes,Ille-et-Vilaine,Rennes,Bretagne,France,35047,UU35701,D035,A14,R53,FR,"48.0261755313, -1.74817480915",OPA
CII,Organismes privés agréés,"2025,2026,2027",Organisme,GWENLAKE,,"Automatique, Electronique, Génie Electronique, Télécommunications, Informatique, Optique",Bretagne>Rennes>Ille-et-Vilaine>Rennes>Cesson-Sévigné,2025,2027,895408003,,,,35510,CESSON SEVIGNE,,,Cesson-Sévigné,Rennes,Ille-et-Vilaine,Rennes,Bretagne,France,35051,UU35701,D035,A14,R53,FR,"48.1202268032, -1.59714447272",OPA
CII,Organismes privés agréés,"2025,2026,2027",Organisme,VALOWAY,,"Automatique, Electronique, Génie Electronique, Télécommunications, Informatique, Optique",Bretagne>Rennes>Ille-et-Vilaine>Rennes,2025,2027,820304004,,,,35700,RENNES,,,Rennes,Rennes,Ille-et-Vilaine,Rennes,Bretagne,France,35238,UU35701,D035,A14,R53,FR,"48.1119791219, -1.68186449144",OPA
CII,Organismes privés agréés,"2025,2026,2027",Organisme,SONAIDE,SONAID,Informatique,Bretagne>Rennes>Ille-et-Vilaine>Rennes,2025,2027,951396498,,,,35700,RENNES,,,Rennes,Rennes,Ille-et-Vilaine,Rennes,Bretagne,France,35238,UU35701,D035,A14,R53,FR,"48.1119791219, -1.68186449144",OPA
CII,Organismes privés agréés,"2014,2015,2016",Organisme,BA TECHNICS,,Electronique,Bretagne>Rennes>Ille-et-Vilaine>Rennes>Pacé,2014,2016,529850000,PME,7112B,"Ingénierie, études techniques",35740,PACE,,,Pacé,Rennes,Ille-et-Vilaine,Rennes,Bretagne,France,35210,UU35701,D035,A14,R53,FR,"48.152548244, -1.77716643787",OPA
CII,Organismes privés agréés,"2014,2015,2016",Organisme,ACSYSTEME,,Automatique,Bretagne>Rennes>Ille-et-Vilaine>Rennes,2014,2016,441000775,PME,7490B,"Activités spécialisées, scientifiques et techniques diverses",35700,RENNES,,,Rennes,Rennes,Ille-et-Vilaine,Rennes,Bretagne,France,35238,UU35701,D035,A14,R53,FR,"48.1119791219, -1.68186449144",OPA
CII,Organismes privés agréés,"2015,2016,2017",Organisme,SCRIPT & GO,,Informatique,Bretagne>Rennes>Ille-et-Vilaine>Rennes,2015,2017,530649250,PME,6201Z,Programmation informatique,35700,RENNES,,,Rennes,Rennes,Ille-et-Vilaine,Rennes,Bretagne,France,35238,UU35701,D035,A14,R53,FR,"48.1119791219, -1.68186449144",OPA
CII,Organismes privés agréés,"2017,2018,2019",Organisme,EDIXIA AUTOMATION,,Electronique,Bretagne>Rennes>Ille-et-Vilaine>Vern-sur-Seiche,2017,2019,753630235,PME,7112B,"Ingénierie, études techniques",35770,VERN SUR SEICHE,,,Vern-sur-Seiche,Vern-sur-Seiche,Ille-et-Vilaine,Rennes,Bretagne,France,35352,UU35219,D035,A14,R53,FR,"48.0525245014, -1.60521106164",OPA
