code_insee,nom,code_commune,est_une_commune,proportion_diplomes_master,revenu_net_median_par_uc,population_politique,population_totale,region_sociale,pixel,ordonnee_dans_le_carre,abcisse_dans_le_carre
351440000,Langan (commune non irisée),35144,1,0.080753701,22750,766,1075,B2,54,0.48941092508347,0.34033861582038
351500000,Lécousse (commune non irisée),35150,1,0.061723602,24090,2621,3322,B3,57,0.50235850190441,0.74226227867909
351600000,Loutehel (commune non irisée),35160,1,0.061797752,20880,175,240,C1,33,0.30623463360846,0.31050087675068
351700000,Mecé (commune non irisée),35170,1,0.055813953,21420,434,608,C2,35,0.31793486065053,0.45594102064315
351800000,Miniac-sous-Bécherel (commune non irisée),35180,1,0.087360594,22380,558,796,B1,53,0.49048673186959,0.27127144560593
351890000,Montgermont (commune non irisée),35189,1,0.172230652,26300,2749,3692,A2,84,0.79756607937664,0.39635202137568
351900000,Monthault (commune non irisée),35190,1,0.031578947,18410,177,246,C3,19,0.098491470945943,0.89482791282514
351960101,Centre et Ouest,35196,0,0.1,22690,2671,3471,B1,53,0.54645610821602,0.2401763044157
351960102,Nord-Est,35196,0,0.08115942,25760,1439,1850,B3,67,0.63335750583888,0.75960163926871
351960103,Sud-Est,35196,0,0.108720271,24700,1794,2337,B2,64,0.655077875335,0.3641296628814
352000000,Moutiers (commune non irisée),35200,1,0.037096774,21900,635,910,C3,38,0.27906113247136,0.78123490145021
352040000,Nouvoitou (commune non irisée),35204,1,0.153691004,24910,2562,3554,A1,73,0.74249985901578,0.26008374127131
352060101,Est,35206,0,0.143270024,26200,2461,3156,A2,74,0.75865349431634,0.39166862027845
352060102,Ouest,35206,0,0.151667715,23810,3120,4475,A1,72,0.70964543587158,0.21404090580857
352080000,Orgères (commune non irisée),35208,1,0.142216358,24180,3830,5471,A1,73,0.70357857870935,0.25767863506319
352100101,Est,35210,0,0.205929671,27050,4563,6429,A2,84,0.84172250401183,0.33515980016747
352100102,Nord,35210,0,0.215384615,31270,1372,1779,A3,97,0.89137380164981,0.73141523155334
352100103,Ouest,35210,0,0.2481203,33650,1315,1804,A3,97,0.91978211134539,0.75528726867935
352100105,Sud,35210,0,0.175761871,30400,1374,1906,A3,87,0.86146213406339,0.68931780334748
352160000,Parthenay-de-Bretagne (commune non irisée),35216,1,0.142222222,24190,1186,1793,A1,73,0.70378124483067,0.25790177954905
352300000,Poilley (commune non irisée),35230,1,0.031578947,21900,288,367,C3,38,0.25768378625463,0.84437713072992
352350000,Rannée (commune non irisée),35235,1,0.013480392,21870,810,1061,C3,29,0.19321336457658,0.99454381512294
352380101,Cathédrale,35238,0,0.419228253,32820,2264,2594,A1,93,0.95739509154192,0.22759629604906
352380102,Hoche,35238,0,0.502035278,30480,1295,1532,A1,91,0.9642463184307,0.028173945418528
352380103,Parlement,35238,0,0.461220268,33350,1360,1613,A1,92,0.9655755414766,0.1570091226104
352380104,Parcheminerie Toussaints,35238,0,0.399046104,31850,1837,2080,A1,93,0.95006037970551,0.2371301431619
352380105,Liberté Champ de Mars,35238,0,0.382352941,24800,2172,2535,A1,91,0.91506443867149,0.046452448757593
352380106,Colombier Sud et Ouest,35238,0,0.188372093,21430,1419,1733,A1,71,0.70259570236624,0.076514851902429
352380107,Dalle du Colombier,35238,0,0.24600246,28980,1711,2051,A1,83,0.88748071421581,0.31308451486043
352380108,Saint-Louis,35238,0,0.315749235,28120,1656,1885,A1,93,0.91144196987122,0.29190115652098
352380109,Vieux Saint-Étienne,35238,0,0.400237529,26370,1418,1593,A1,91,0.92871975836245,0.0608378360337
352380110,Hôtel-Dieu,35238,0,0.292549555,22610,2070,2436,A1,81,0.85048528461275,0.052379267845214
