Rentrée scolaire,Académie,Code du département,Département,UAI,Nom de l'établissment,Code INSEE de la commune,Nom de la commune,Secteur,IPS,Ecart-type de l'IPS
2021-2022,RENNES,035,ILLE-ET-VILAINE,0352589Z,COLLEGE JEAN MOULIN,35281,SAINT JACQUES DE LA LANDE,public,92.8,40.4
2020-2021,RENNES,035,ILLE-ET-VILAINE,0350033W,COLLEGE LES ORMEAUX,35238,RENNES,public,130.7,41.0
2020-2021,RENNES,035,ILLE-ET-VILAINE,0350759K,COLLEGE ECHANGE,35238,RENNES,public,118.4,43.7
2020-2021,RENNES,035,ILLE-ET-VILAINE,0350895H,COLLEGE ROSA PARKS,35238,RENNES,public,73.3,29.3
2020-2021,RENNES,035,ILLE-ET-VILAINE,0350965J,COLLEGE LE LANDRY,35238,RENNES,public,113.6,44.2
2020-2021,RENNES,035,ILLE-ET-VILAINE,0351053E,COLLEGE JEAN MONNET,35136,JANZE,public,107.4,34.7
2020-2021,RENNES,035,ILLE-ET-VILAINE,0351847T,COLLEGE GEORGES BRASSENS,35240,LE RHEU,public,117.0,38.9
2020-2021,RENNES,035,ILLE-ET-VILAINE,0352030S,COLLEGE MORVAN LEBESQUE,35196,MORDELLES,public,114.0,36.4
2020-2021,RENNES,035,ILLE-ET-VILAINE,0352071L,COLLEGE PRIVE SAINTE THERESE,35238,RENNES,privé sous contrat,83.4,27.6
2020-2021,RENNES,035,ILLE-ET-VILAINE,0352589Z,COLLEGE JEAN MOULIN,35281,SAINT JACQUES DE LA LANDE,public,94.3,41.4
2020-2021,RENNES,035,ILLE-ET-VILAINE,0352959B,COLLEGE MARIE CURIE,35139,LAILLE,public,112.6,37.6
2018-2019,RENNES,035,ILLE-ET-VILAINE,0350835T,COLLEGE PRIVE LA TOUR D AUVERGNE LA SALLE,35238,RENNES,privé sous contrat,122.0,
2018-2019,RENNES,035,ILLE-ET-VILAINE,0350965J,COLLEGE LE LANDRY,35238,RENNES,public,113.3,
2018-2019,RENNES,035,ILLE-ET-VILAINE,0351851X,COLLEGE LA BINQUENAIS,35238,RENNES,public,81.1,
2016-2017,RENNES,035,ILLE-ET-VILAINE,0350759K,COLLEGE ECHANGE,35238,RENNES,public,120.2,
2016-2017,RENNES,035,ILLE-ET-VILAINE,0350760L,COLLEGE CLEUNAY,35238,RENNES,public,99.7,
2016-2017,RENNES,035,ILLE-ET-VILAINE,0350780H,COLLEGE PRIVE IMMACULEE,35278,SAINT GREGOIRE,privé sous contrat,133.4,
2016-2017,RENNES,035,ILLE-ET-VILAINE,0350781J,COLLEGE PRIVE NOTRE DAME DU VIEUX COURS,35238,RENNES,privé sous contrat,132.5,
2016-2017,RENNES,035,ILLE-ET-VILAINE,0350839X,COLLEGE PRIVE SAINT HELIER,35238,RENNES,privé sous contrat,119.3,
2016-2017,RENNES,035,ILLE-ET-VILAINE,0351847T,COLLEGE GEORGES BRASSENS,35240,LE RHEU,public,119.4,
2016-2017,RENNES,035,ILLE-ET-VILAINE,0351906G,COLLEGE BOURGCHEVREUIL,35051,CESSON SEVIGNE,public,135.0,
2016-2017,RENNES,035,ILLE-ET-VILAINE,0352070K,COLLEGE PRIVE ASSOMPTION,35238,RENNES,privé sous contrat,138.1,
2016-2017,RENNES,035,ILLE-ET-VILAINE,0352260S,COLLEGE FRANCOIS TRUFFAUT,35024,BETTON,public,129.9,
2016-2017,RENNES,035,ILLE-ET-VILAINE,0352274G,COLLEGE FRANCOISE DOLTO,35210,PACE,public,120.6,
2017-2018,RENNES,035,ILLE-ET-VILAINE,0350002M,COLLEGE PIERRE BROSSOLETTE,35047,BRUZ,public,116.1,
2017-2018,RENNES,035,ILLE-ET-VILAINE,0350057X,COLLEGE JACQUES PREVERT,35245,ROMILLE,public,113.3,
2017-2018,RENNES,035,ILLE-ET-VILAINE,0350835T,COLLEGE PRIVE LA TOUR D AUVERGNE LA SALLE,35238,RENNES,privé sous contrat,121.3,
2017-2018,RENNES,035,ILLE-ET-VILAINE,0350895H,COLLEGE ROSA PARKS,35238,RENNES,public,76.0,
2017-2018,RENNES,035,ILLE-ET-VILAINE,0351053E,COLLEGE JEAN MONNET,35136,JANZE,public,106.8,
2017-2018,RENNES,035,ILLE-ET-VILAINE,0351906G,COLLEGE BOURGCHEVREUIL,35051,CESSON SEVIGNE,public,133.5,
2017-2018,RENNES,035,ILLE-ET-VILAINE,0352030S,COLLEGE MORVAN LEBESQUE,35196,MORDELLES,public,113.7,
2017-2018,RENNES,035,ILLE-ET-VILAINE,0352069J,COLLEGE PRIVE SAINT VINCENT PROVIDENCE,35238,RENNES,privé sous contrat,133.3,
2017-2018,RENNES,035,ILLE-ET-VILAINE,0352319F,COLLEGE PRIVE SAINT GABRIEL,35210,PACE,privé sous contrat,133.4,
2017-2018,RENNES,035,ILLE-ET-VILAINE,0352691K,COLLEGE ANDREE RECIPON,35208,ORGERES,public,120.1,
2019-2020,RENNES,035,ILLE-ET-VILAINE,0350002M,COLLEGE PIERRE BROSSOLETTE,35047,BRUZ,public,115.4,36.8
2019-2020,RENNES,035,ILLE-ET-VILAINE,0350033W,COLLEGE LES ORMEAUX,35238,RENNES,public,132.1,39.5
2019-2020,RENNES,035,ILLE-ET-VILAINE,0350734H,COLLEGE LES CHALAIS,35238,RENNES,public,76.9,33.7
2019-2020,RENNES,035,ILLE-ET-VILAINE,0350781J,COLLEGE PRIVE NOTRE DAME DU VIEUX COURS,35238,RENNES,privé sous contrat,132.9,33.4
2019-2020,RENNES,035,ILLE-ET-VILAINE,0350835T,COLLEGE PRIVE LA TOUR D AUVERGNE LA SALLE,35238,RENNES,privé sous contrat,118.7,35.3
2019-2020,RENNES,035,ILLE-ET-VILAINE,0350839X,COLLEGE PRIVE SAINT HELIER,35238,RENNES,privé sous contrat,129.8,31.7
2019-2020,RENNES,035,ILLE-ET-VILAINE,0350874K,COLLEGE PRIVE SAINT YVES,35196,MORDELLES,privé sous contrat,117.2,30.7
2019-2020,RENNES,035,ILLE-ET-VILAINE,0350913C,COLLEGE CLOTILDE VAUTIER,35238,RENNES,public,80.9,39.5
2019-2020,RENNES,035,ILLE-ET-VILAINE,0352319F,COLLEGE PRIVE SAINT GABRIEL,35210,PACE,privé sous contrat,133.1,31.1
2019-2020,RENNES,035,ILLE-ET-VILAINE,0352541X,COLLEGE THEODORE MONOD,35352,VERN SUR SEICHE,public,115.7,35.3
2019-2020,RENNES,035,ILLE-ET-VILAINE,0352589Z,COLLEGE JEAN MOULIN,35281,SAINT JACQUES DE LA LANDE,public,95.6,40.5
2017-2018,RENNES,035,ILLE-ET-VILAINE,0350852L,COLLEGE PRIVE SAINT JOSEPH,35047,BRUZ,privé sous contrat,130.3,
