date_mesure,geocode_commune,libelle_commune,type_transport_en_commun,numerateur,denominateur,valeur
2025-01-01T00:00:00.000,35351,Le Verger,autres,0.0,1404.0,0.0
2025-01-01T00:00:00.000,35081,Clayes,bus,4.0,941.0,4.2507970244420825
2025-01-01T00:00:00.000,35170,Mecé,bus,1.0,613.0,1.6313213703099512
2025-01-01T00:00:00.000,35200,Moutiers,bus,1.0,905.0,1.1049723756906078
2025-01-01T00:00:00.000,35088,Corps-Nuds,métro,0.0,3555.0,0.0
2025-01-01T00:00:00.000,35132,Hirel,tramway,0.0,1384.0,0.0
2025-01-01T00:00:00.000,35210,Pacé,train,0.0,11815.0,0.0
2025-01-01T00:00:00.000,35139,Laillé,train,0.0,5154.0,0.0
2025-01-01T00:00:00.000,35135,Irodouër,tramway,0.0,2308.0,0.0
2025-01-01T00:00:00.000,35047,Bruz,train,2.0,19667.0,0.10169319164081965
2025-01-01T00:00:00.000,35334,Thorigné-Fouillard,tramway,0.0,8631.0,0.0
2025-01-01T00:00:00.000,35235,Rannée,train,0.0,1081.0,0.0
2025-01-01T00:00:00.000,35132,Hirel,train,0.0,1384.0,0.0
2025-01-01T00:00:00.000,35136,Janzé,train,1.0,8618.0,0.11603620329542817
2025-01-01T00:00:00.000,35066,Chartres-de-Bretagne,train,0.0,8678.0,0.0
2025-01-01T00:00:00.000,35055,Chantepie,tramway,0.0,10378.0,0.0
2025-01-01T00:00:00.000,35066,Chartres-de-Bretagne,tramway,0.0,8678.0,0.0
2025-01-01T00:00:00.000,35190,Monthault,train,0.0,250.0,0.0
2025-01-01T00:00:00.000,35058,La Chapelle-Chaussée,tramway,0.0,1299.0,0.0
2025-01-01T00:00:00.000,35088,Corps-Nuds,tramway,0.0,3555.0,0.0
2025-01-01T00:00:00.000,35235,Rannée,tramway,0.0,1081.0,0.0
2025-01-01T00:00:00.000,35200,Moutiers,tramway,0.0,905.0,0.0
2025-01-01T00:00:00.000,35131,L'Hermitage,tramway,0.0,4683.0,0.0
2025-01-01T00:00:00.000,35076,Chavagne,train,0.0,4562.0,0.0
2025-01-01T00:00:00.000,35160,Loutehel,tramway,0.0,235.0,0.0
2025-01-01T00:00:00.000,35180,Miniac-sous-Bécherel,train,0.0,788.0,0.0
2025-01-01T00:00:00.000,35363,Pont-Péan,train,0.0,4289.0,0.0
2025-01-01T00:00:00.000,35080,Cintré,tramway,0.0,2614.0,0.0
2025-01-01T00:00:00.000,35170,Mecé,tramway,0.0,613.0,0.0
2025-01-01T00:00:00.000,35139,Laillé,tramway,0.0,5154.0,0.0
2025-01-01T00:00:00.000,35196,Mordelles,train,0.0,7831.0,0.0
2025-01-01T00:00:00.000,35170,Mecé,train,0.0,613.0,0.0
2025-01-01T00:00:00.000,35032,Bourgbarré,train,0.0,4692.0,0.0
2025-01-01T00:00:00.000,35216,Parthenay-de-Bretagne,train,0.0,1802.0,0.0
2025-01-01T00:00:00.000,35120,Gévezé,train,0.0,5987.0,0.0
2025-01-01T00:00:00.000,35245,Romillé,tramway,0.0,4154.0,0.0
2025-01-01T00:00:00.000,35039,Brécé,tramway,0.0,2185.0,0.0
2025-01-01T00:00:00.000,35059,La Chapelle-des-Fougeretz,train,0.0,4603.0,0.0
2025-01-01T00:00:00.000,35047,Bruz,tramway,0.0,19667.0,0.0
2025-01-01T00:00:00.000,35351,Le Verger,train,0.0,1404.0,0.0
2025-01-01T00:00:00.000,35001,Acigné,train,0.0,6911.0,0.0
2025-01-01T00:00:00.000,35051,Cesson-Sévigné,tramway,0.0,18076.0,0.0
2025-01-01T00:00:00.000,35079,Chevaigné,tramway,0.0,2396.0,0.0
2025-01-01T00:00:00.000,35204,Nouvoitou,tramway,0.0,3732.0,0.0
2025-01-01T00:00:00.000,35310,Saint-Sauveur-des-Landes,tramway,0.0,1565.0,0.0
2025-01-01T00:00:00.000,35189,Montgermont,train,0.0,3777.0,0.0
2025-01-01T00:00:00.000,35275,Saint-Gilles,train,0.0,5489.0,0.0
2025-01-01T00:00:00.000,35080,Cintré,train,0.0,2614.0,0.0
