codeDepartement,nomDepartement,codeCirconscription,nomCirconscription,codeCommune,nomCommune,numeroBureauVote,codeBureauVote
35,Ille-et-Vilaine,3501,1ère circonscription,35238,Rennes,0324,35238_0324
35,Ille-et-Vilaine,3501,1ère circonscription,35238,Rennes,0331,35238_0331
35,Ille-et-Vilaine,3501,1ère circonscription,35238,Rennes,0332,35238_0332
35,Ille-et-Vilaine,3501,1ère circonscription,35238,Rennes,0333,35238_0333
35,Ille-et-Vilaine,3501,1ère circonscription,35238,Rennes,0334,35238_0334
35,Ille-et-Vilaine,3501,1ère circonscription,35238,Rennes,0341,35238_0341
35,Ille-et-Vilaine,3501,1ère circonscription,35238,Rennes,0342,35238_0342
35,Ille-et-Vilaine,3501,1ère circonscription,35238,Rennes,0343,35238_0343
35,Ille-et-Vilaine,3501,1ère circonscription,35238,Rennes,0344,35238_0344
35,Ille-et-Vilaine,3501,1ère circonscription,35238,Rennes,0351,35238_0351
35,Ille-et-Vilaine,3501,1ère circonscription,35238,Rennes,0352,35238_0352
35,Ille-et-Vilaine,3501,1ère circonscription,35238,Rennes,0441,35238_0441
35,Ille-et-Vilaine,3501,1ère circonscription,35238,Rennes,0442,35238_0442
35,Ille-et-Vilaine,3501,1ère circonscription,35238,Rennes,0443,35238_0443
35,Ille-et-Vilaine,3501,1ère circonscription,35238,Rennes,0444,35238_0444
35,Ille-et-Vilaine,3501,1ère circonscription,35238,Rennes,0451,35238_0451
35,Ille-et-Vilaine,3501,1ère circonscription,35238,Rennes,0452,35238_0452
35,Ille-et-Vilaine,3501,1ère circonscription,35238,Rennes,0453,35238_0453
35,Ille-et-Vilaine,3501,1ère circonscription,35238,Rennes,0454,35238_0454
35,Ille-et-Vilaine,3501,1ère circonscription,35238,Rennes,0455,35238_0455
35,Ille-et-Vilaine,3501,1ère circonscription,35238,Rennes,0521,35238_0521
35,Ille-et-Vilaine,3501,1ère circonscription,35238,Rennes,0522,35238_0522
35,Ille-et-Vilaine,3501,1ère circonscription,35238,Rennes,0523,35238_0523
35,Ille-et-Vilaine,3501,1ère circonscription,35238,Rennes,0524,35238_0524
35,Ille-et-Vilaine,3501,1ère circonscription,35238,Rennes,0525,35238_0525
35,Ille-et-Vilaine,3501,1ère circonscription,35238,Rennes,0526,35238_0526
