Rentrée scolaire,Code région,Région,Code de l'académie,Académie,Code du département,Département,Code INSEE de la commune,Nom de la commune,UAI,Nom de l'établissement,Secteur,IPS,IPS national privé,IPS national public,IPS national,IPS académique privé,IPS académique public,IPS académique,IPS départemental privé,IPS départemental public,IPS départemental,num_ligne
2023-2024,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35051,CESSON SEVIGNE,0351859F,ECOLE ELEMENTAIRE PUBLIQUE BEAUSOLEIL,public,135.4,120.3,102.9,105.5,112.8,107.1,109.4,116.5,110.4,112.7,42047.0
2023-2024,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35238,RENNES,0351989X,ECOLE ELEMENTAIRE PUBLIQUE JULES ISAAC,public,114.7,120.3,102.9,105.5,112.8,107.1,109.4,116.5,110.4,112.7,42054.0
2023-2024,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35238,RENNES,0352136G,ECOLE ELEMENTAIRE PUBLIQUE CLOTEAUX,public,98.6,120.3,102.9,105.5,112.8,107.1,109.4,116.5,110.4,112.7,42069.0
2023-2024,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35238,RENNES,0352140L,ECOLE ELEMENTAIRE PUBLIQUE JULES FERRY,public,107,120.3,102.9,105.5,112.8,107.1,109.4,116.5,110.4,112.7,42071.0
2023-2024,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35238,RENNES,0352207J,ECOLE ELEMENTAIRE PUBLIQUE JEAN MOULIN,public,85.6,120.3,102.9,105.5,112.8,107.1,109.4,116.5,110.4,112.7,42088.0
2023-2024,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35066,CHARTRES DE BRETAGNE,0352344H,ECOLE PRIMAIRE PRIVEE STE MARIE,privé sous contrat,128.8,120.3,102.9,105.5,112.8,107.1,109.4,116.5,110.4,112.7,42117.0
2023-2024,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35001,ACIGNE,0352358Y,ECOLE PRIMAIRE PRIVEE STE JEANNE D ARC,privé sous contrat,124.3,120.3,102.9,105.5,112.8,107.1,109.4,116.5,110.4,112.7,42120.0
2023-2024,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35136,JANZE,0352363D,ECOLE PRIMAIRE PRIVEE LE SACRE COEUR,privé sous contrat,116,120.3,102.9,105.5,112.8,107.1,109.4,116.5,110.4,112.7,42125.0
2023-2024,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35352,VERN SUR SEICHE,0352386D,ECOLE ELEMENTAIRE PUBLIQUE NOEL DU FAIL,public,123.7,120.3,102.9,105.5,112.8,107.1,109.4,116.5,110.4,112.7,42136.0
2023-2024,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35238,RENNES,0352410E,ECOLE PRIMAIRE PRIVEE ST JEAN BOSCO,privé sous contrat,103.5,120.3,102.9,105.5,112.8,107.1,109.4,116.5,110.4,112.7,42147.0
2023-2024,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35238,RENNES,0352411F,ECOLE PRIMAIRE PRIVEE ST YVES,privé sous contrat,136.2,120.3,102.9,105.5,112.8,107.1,109.4,116.5,110.4,112.7,42148.0
2023-2024,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35055,CHANTEPIE,0352520Z,ECOLE PRIMAIRE PUBLIQUE LES LANDES,public,113.2,120.3,102.9,105.5,112.8,107.1,109.4,116.5,110.4,112.7,42167.0
2023-2024,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35024,BETTON,0352536S,ECOLE PRIMAIRE PUBLIQUE LES MEZIERES,public,119.6,120.3,102.9,105.5,112.8,107.1,109.4,116.5,110.4,112.7,42170.0
2023-2024,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35047,BRUZ,0352674S,ECOLE ELEMENTAIRE PUBLIQUE LE VERT BUISSON,public,116.5,120.3,102.9,105.5,112.8,107.1,109.4,116.5,110.4,112.7,42179.0
2022-2023,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35059,LA CHAPELLE DES FOUGERETZ,0350174Z,ECOLE ELEMENTAIRE PUBLIQUE GEORGES MARTINAIS,public,123.3,119.3,102.9,105.4,112.1,107.1,109.1,115.6,110.4,112.4,9490.0
2022-2023,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35240,LE RHEU,0350430C,ECOLE PRIMAIRE PUBLIQUE MOIGNE,public,124.5,119.3,102.9,105.4,112.1,107.1,109.1,115.6,110.4,112.4,9542.0
2022-2023,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35238,RENNES,0350603R,ECOLE ELEMENTAIRE PUBLIQUE PABLO PICASSO,public,123.9,119.3,102.9,105.4,112.1,107.1,109.1,115.6,110.4,112.4,9576.0
2022-2023,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35238,RENNES,0350638D,ECOLE ELEMENTAIRE PUBLIQUE CARLE BAHON,public,136.8,119.3,102.9,105.4,112.1,107.1,109.1,115.6,110.4,112.4,9587.0
2022-2023,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35238,RENNES,0350639E,ECOLE ELEMENTAIRE PUBLIQUE VILLENEUVE,public,140.5,119.3,102.9,105.4,112.1,107.1,109.1,115.6,110.4,112.4,9588.0
2022-2023,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35047,BRUZ,0351213D,ECOLE PRIMAIRE PRIVEE LA PROVIDENCE VERT BUISSON,privé sous contrat,125.2,119.3,102.9,105.4,112.1,107.1,109.1,115.6,110.4,112.4,9656.0
