annee,coderegion,region,codedepartement,departement,codeepci,epci,codeinseecommune,codepostalcommune,commune,code_groupe,groupe_production,sous_groupe_production,production,nb_exp,surfab,surfc1,surfc2,surfc3,surfc123,surfbio
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35032,35230,BOURGBARRÉ,AU,Autres surfaces,Hors liste,"Jachère, gel entrant en rotation (yc bandes tampon et surfaces non exploitées temporairement)",2,8.48,0,0,0,0,8.48
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35032,35230,BOURGBARRÉ,FR,Fruits (yc à coque),Fruits à noyau et à pépins,Pommes,1,0,0,0,1,1,1
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35032,35230,BOURGBARRÉ,GCU,Céréales et oléoprotéagineux (yc légumes secs),Céréales,Orges,2,5.3,0,0,0,0,5.3
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35032,35230,BOURGBARRÉ,GCU,Céréales et oléoprotéagineux (yc légumes secs),Céréales,Sarrasin,1,3.7,0,0,0,0,3.7
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35032,35230,BOURGBARRÉ,GCU,Céréales et oléoprotéagineux (yc légumes secs),Céréales,Seigle,1,5.5,0,0,0,0,5.5
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35032,35230,BOURGBARRÉ,GCU,Céréales et oléoprotéagineux (yc légumes secs),Céréales,Triticale,1,4,0,0,0,0,4
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35032,35230,BOURGBARRÉ,GCU,Céréales et oléoprotéagineux (yc légumes secs),Protéagineux,"Fèves, sèches (yc féveroles)",2,8.38,0,0,0,0,8.38
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35032,35230,BOURGBARRÉ,SF,Surfaces et cultures fourragères,Cultures fourragères,Luzerne,1,3.7,0,0,0,0,3.7
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35032,35230,BOURGBARRÉ,SF,Surfaces et cultures fourragères,Cultures fourragères,Maïs fourrager,1,8.76,0,0,0,0,8.76
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35032,35230,BOURGBARRÉ,SF,Surfaces et cultures fourragères,Cultures fourragères,Prairie temporaire,3,67.58,0,0,0,0,67.58
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35032,35230,BOURGBARRÉ,SF,Surfaces et cultures fourragères,Surfaces toujours en herbe,Prairie permanente,1,2.53,0,0,0,0,2.53
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35039,35530,BRÉCÉ,AU,Autres surfaces,Hors liste,"Autres surfaces, parcours collectifs et zones de cueillette",1,9.77,0,0,0,0,9.77
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35039,35530,BRÉCÉ,AU,Autres surfaces,Hors liste,"Jachère, gel entrant en rotation (yc bandes tampon et surfaces non exploitées temporairement)",1,2.58,0,0,0,0,2.58
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35039,35530,BRÉCÉ,GCU,Céréales et oléoprotéagineux (yc légumes secs),Céréales,Mélanges Céréaliers (sans légumineuses),1,10.1,0,0,0,0,10.1
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35039,35530,BRÉCÉ,SF,Surfaces et cultures fourragères,Cultures fourragères,Prairie temporaire,1,34.54,0,0,0,0,34.54
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35039,35530,BRÉCÉ,SF,Surfaces et cultures fourragères,Surfaces toujours en herbe,Parcours herbeux (hors estives collectives),1,1,1,0,0,1,2
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35051,35510,CESSON-SÉVIGNÉ,GCU,Céréales et oléoprotéagineux (yc légumes secs),Céréales,Blé tendre,1,2.2,0,0,0,0,2.2
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35051,35510,CESSON-SÉVIGNÉ,GCU,Céréales et oléoprotéagineux (yc légumes secs),Céréales,Mélanges Céréaliers (sans légumineuses),1,6.54,0,0,0,0,6.54
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35051,35510,CESSON-SÉVIGNÉ,GCU,Céréales et oléoprotéagineux (yc légumes secs),Céréales,Orges,1,3.3,0,0,0,0,3.3
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35051,35510,CESSON-SÉVIGNÉ,GCU,Céréales et oléoprotéagineux (yc légumes secs),Céréales,Sarrasin,1,1,0,0,0,0,1
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35051,35510,CESSON-SÉVIGNÉ,SF,Surfaces et cultures fourragères,Cultures fourragères,Autres plantes et surfaces fourragères n.c.a.,1,3.4,0,0,0,0,3.4
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35051,35510,CESSON-SÉVIGNÉ,SF,Surfaces et cultures fourragères,Cultures fourragères,Prairie temporaire,2,67.22,0,0,0,0,67.22
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35051,35510,CESSON-SÉVIGNÉ,SF,Surfaces et cultures fourragères,Surfaces toujours en herbe,Prairie permanente,1,1.92,0,0,0,0,1.92
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35055,35135,CHANTEPIE,AU,Autres surfaces,Hors liste,"Autres surfaces, parcours collectifs et zones de cueillette",1,0.19,0,0,0,0,0.19
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35055,35135,CHANTEPIE,AU,Autres surfaces,Hors liste,"Jachère, gel entrant en rotation (yc bandes tampon et surfaces non exploitées temporairement)",1,1.53,0,0,0,0,1.53
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35055,35135,CHANTEPIE,GCU,Céréales et oléoprotéagineux (yc légumes secs),Céréales,Blé tendre,1,2.8,0,0,0,0,2.8
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35055,35135,CHANTEPIE,GCU,Céréales et oléoprotéagineux (yc légumes secs),Céréales,Orges,1,3.3,0,0,0,0,3.3
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35055,35135,CHANTEPIE,GCU,Céréales et oléoprotéagineux (yc légumes secs),Protéagineux,"Fèves, sèches (yc féveroles)",1,2.86,0,0,0,0,2.86
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35055,35135,CHANTEPIE,SF,Surfaces et cultures fourragères,Cultures fourragères,Prairie temporaire,2,88.44,0,0,0,0,88.44
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35055,35135,CHANTEPIE,SF,Surfaces et cultures fourragères,Surfaces toujours en herbe,Prairie permanente,2,3.38,0,0,0,0,3.38
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35076,35310,CHAVAGNE,AU,Autres surfaces,Hors liste,"Jachère, gel entrant en rotation (yc bandes tampon et surfaces non exploitées temporairement)",1,0.47,0,3.01,0,3.01,3.48
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35076,35310,CHAVAGNE,GCU,Céréales et oléoprotéagineux (yc légumes secs),Céréales,Maïs grain (hors maïs doux),1,6.04,0,0,0,0,6.04
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35076,35310,CHAVAGNE,SF,Surfaces et cultures fourragères,Cultures fourragères,Colza fourrager,1,9.19,0,0,0,0,9.19
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35076,35310,CHAVAGNE,SF,Surfaces et cultures fourragères,Cultures fourragères,Prairie temporaire,1,54.7,0,0,0,0,54.7
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35076,35310,CHAVAGNE,SF,Surfaces et cultures fourragères,Surfaces toujours en herbe,Prairie permanente,1,17.412,0,0,0,0,17.412
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35081,35590,CLAYES,AU,Autres surfaces,Hors liste,"Autres surfaces, parcours collectifs et zones de cueillette",1,0.24,0,0,0,0,0.24
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35081,35590,CLAYES,GCU,Céréales et oléoprotéagineux (yc légumes secs),Céréales,Mélanges Céréales-légumineuses,1,7.49,0,0,0,0,7.49
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35081,35590,CLAYES,SF,Surfaces et cultures fourragères,Cultures fourragères,Prairie temporaire,1,42.25,0,0.97,0,0.97,43.22
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35081,35590,CLAYES,SF,Surfaces et cultures fourragères,Surfaces toujours en herbe,Prairie permanente,1,3.19,0,0,0,0,3.19
