codgeo,nb_vp,nb_vp_rechargeables_el,date_arrete
35055,9511,117,2022-06-30
35055,9473,136,2022-12-31
35058,1325,9,2021-06-30
35058,1325,10,2021-09-30
35058,1329,10,2021-12-31
35058,1329,17,2022-06-30
35058,1351,21,2023-03-31
35058,1344,29,2023-12-31
35059,4331,41,2020-12-31
35059,4393,82,2022-06-30
35059,4379,102,2023-03-31
35059,4413,112,2023-06-30
35059,4469,137,2023-12-31
35065,2223,6,2020-12-31
35065,2230,11,2021-06-30
35065,2284,16,2022-06-30
35065,2289,19,2022-12-31
35065,2299,22,2023-03-31
35066,7740,52,2021-03-31
35066,7921,99,2022-12-31
35066,8059,142,2023-12-31
35076,3835,23,2020-12-31
35076,3909,31,2021-06-30
35076,3937,32,2021-09-30
35076,3982,41,2021-12-31
35076,4051,61,2022-09-30
35076,4047,68,2022-12-31
35076,4114,73,2023-06-30
35076,4157,82,2023-12-31
35079,2176,11,2020-12-31
35079,2230,28,2021-12-31
35079,2229,34,2022-03-31
35079,2224,55,2023-03-31
35079,2236,75,2023-12-31
35080,2214,11,2021-09-30
35080,2233,23,2022-06-30
35080,2270,26,2022-12-31
35080,2265,28,2023-03-31
35080,2274,34,2023-06-30
35081,823,4,2021-09-30
35081,821,9,2022-06-30
35081,823,14,2023-03-31
35088,3154,21,2020-12-31
35088,3170,29,2021-06-30
35088,3186,31,2021-09-30
35120,4993,36,2021-09-30
35120,5106,87,2022-12-31
35120,5201,104,2023-06-30
35131,4145,12,2020-12-31
35131,4205,23,2021-09-30
35131,4246,44,2022-09-30
35131,4286,55,2023-03-31
35131,4286,57,2023-06-30
35132,1626,7,2021-06-30
35132,1636,6,2021-09-30
35132,1658,7,2021-12-31
35132,1670,9,2022-03-31
35132,1670,12,2022-12-31
35135,2229,4,2020-12-31
35135,2307,13,2022-03-31
35135,2313,30,2023-06-30
35136,8126,33,2020-12-31
35136,8164,37,2021-03-31
35136,8192,48,2021-09-30
35136,8224,58,2021-12-31
35136,8325,84,2022-09-30
35136,8397,103,2023-03-31
35139,4988,32,2021-03-31
35139,4995,41,2021-06-30
35139,5027,59,2021-12-31
35139,5040,63,2022-03-31
35139,5082,82,2022-12-31
35139,5134,94,2023-09-30
35144,1097,2,2021-03-31
35144,1134,6,2021-12-31
35144,1139,8,2022-09-30
35144,1134,9,2022-12-31
35150,3439,22,2020-12-31
35150,3453,27,2021-03-31
35150,3567,47,2022-06-30
35150,3593,46,2022-09-30
35150,3685,74,2023-06-30
35150,3723,86,2023-12-31
35160,263,0,2020-12-31
35160,269,1,2021-06-30
35160,277,2,2021-12-31
35160,280,2,2022-03-31
35160,279,2,2022-06-30
35160,281,2,2022-09-30
35170,624,3,2021-03-31
35170,626,4,2021-06-30
35170,618,7,2022-03-31
35180,812,1,2021-06-30
35180,805,1,2021-09-30
35180,821,2,2022-09-30
35180,836,6,2023-12-31
35189,3580,58,2022-03-31
35190,287,1,2022-03-31
35190,283,2,2022-09-30
35190,282,2,2022-12-31
35190,285,3,2023-03-31
35190,290,3,2023-09-30
35196,7214,40,2021-03-31
35196,7283,53,2021-09-30
35196,7418,83,2022-09-30
35196,7457,96,2022-12-31
35196,7542,114,2023-06-30
35196,7570,136,2023-12-31
35200,897,3,2021-09-30
35200,925,7,2022-12-31
35200,944,10,2023-09-30
35204,3345,35,2021-06-30
35204,3407,45,2022-03-31
35204,3398,52,2022-06-30
35204,3435,56,2022-09-30
35204,3481,62,2022-12-31
35204,3512,67,2023-03-31
35204,3539,76,2023-06-30
35204,3536,82,2023-09-30
35206,7216,63,2021-09-30
35206,7730,159,2023-12-31
35208,4877,69,2022-06-30
35208,4965,95,2023-06-30
35208,4991,99,2023-09-30
35210,11139,90,2020-12-31
35210,11160,106,2021-03-31
35210,11118,163,2021-12-31
35210,11140,177,2022-03-31
35210,11048,217,2022-09-30
35210,11028,350,2023-12-31
35216,1481,7,2021-03-31
35216,1498,9,2021-09-30
35216,1521,16,2022-03-31
35216,1526,20,2022-09-30
35216,1545,24,2023-03-31
35230,404,3,2021-03-31
35230,405,4,2021-12-31
35230,414,5,2022-06-30
35230,417,8,2022-12-31
35230,419,9,2023-03-31
35230,420,9,2023-06-30
35235,1205,9,2022-09-30
35235,1210,10,2022-12-31
35235,1213,12,2023-03-31
35238,157197,1499,2021-12-31
35238,157524,1811,2022-06-30
35238,157301,2181,2022-12-31
35238,157983,2804,2023-09-30
35238,158353,3055,2023-12-31
35240,8115,55,2020-12-31
35240,8144,61,2021-03-31
35240,8299,96,2022-03-31
35240,8349,108,2022-06-30
35240,8431,138,2022-12-31
35240,8434,154,2023-03-31
35240,8510,189,2023-09-30
35240,8493,207,2023-12-31
35245,3913,30,2021-06-30
35245,3962,37,2021-12-31
35245,3986,47,2022-03-31
35245,4051,75,2023-06-30
35250,2067,6,2020-12-31
35250,2109,10,2021-03-31
35250,2130,10,2021-06-30
35250,2177,26,2022-06-30
35250,2208,35,2022-12-31
35250,2196,37,2023-03-31
35250,2259,51,2023-12-31
35266,3124,46,2022-12-31
35266,3170,57,2023-06-30
35275,4644,32,2021-06-30
35275,4663,37,2021-09-30
35275,4686,52,2022-03-31
35278,10589,227,2020-12-31
35281,13532,170,2021-06-30
35281,13845,266,2021-12-31
35281,14014,335,2022-03-31
35281,14232,411,2023-03-31
35310,1322,9,2021-06-30
35310,1329,9,2021-09-30
35310,1350,14,2022-12-31
35310,1361,19,2023-06-30
35310,1361,21,2023-12-31
35315,1567,31,2022-06-30
35315,1555,32,2022-09-30
35315,1567,37,2023-06-30
35334,7528,64,2020-12-31
35334,7526,75,2021-03-31
35334,7550,86,2021-06-30
35334,7563,98,2021-09-30
35334,7548,124,2022-03-31
35334,7562,151,2022-09-30
35334,7577,167,2022-12-31
35334,7586,185,2023-03-31
35334,7604,193,2023-06-30
35351,1327,3,2020-12-31
35351,1342,5,2021-09-30
35351,1315,9,2022-03-31
35351,1341,9,2022-09-30
35352,8448,71,2021-06-30
35352,8528,131,2022-03-31
35352,8526,146,2022-06-30
35353,4776,50,2021-06-30
35353,4814,57,2022-03-31
35363,4028,34,2020-12-31
35363,4065,41,2021-09-30
35363,4089,65,2022-09-30
35363,4156,95,2023-12-31
