batiment_groupe_id;code_departement_insee;millesime;nb_pdl_res;nb_pdl_pro;nb_pdl_tot;conso_res;conso_pro;conso_tot;conso_res_par_pdl;conso_pro_par_pdl;conso_tot_par_pdl
bdnb-bg-1PSJ-XCQB-N1SA;35;2022;11.000;0.000;11.000;69958.600;0.000;69958.600;6359.873;;6359.873
bdnb-bg-1PSJ-XCQB-N1SA;35;2023;11.000;0.000;11.000;65545.800;0.000;65545.800;5958.709;;5958.709
bdnb-bg-1PSJ-XCQB-N1SA;35;2024;11.000;0.000;11.000;60679.400;0.000;60679.400;5516.309;;5516.309
bdnb-bg-1QAG-9FX4-FL6K;35;2018;23.000;0.000;23.000;133020.200;0.000;133020.200;5783.487;;5783.487
bdnb-bg-1QAG-9FX4-FL6K;35;2019;24.000;0.000;24.000;129191.700;0.000;129191.700;5382.988;;5382.988
bdnb-bg-1QAG-9FX4-FL6K;35;2020;23.000;0.000;23.000;126417.100;0.000;126417.100;5496.396;;5496.396
bdnb-bg-1QAG-9FX4-FL6K;35;2021;23.000;0.000;23.000;123773.800;0.000;123773.800;5381.470;;5381.470
bdnb-bg-1QAG-9FX4-FL6K;35;2022;23.000;0.000;23.000;102994.400;0.000;102994.400;4478.017;;4478.017
bdnb-bg-1QAG-9FX4-FL6K;35;2023;23.000;0.000;23.000;102280.400;0.000;102280.400;4446.974;;4446.974
bdnb-bg-1QAG-9FX4-FL6K;35;2024;23.000;0.000;23.000;98211.000;0.000;98211.000;4270.043;;4270.043
bdnb-bg-1QLW-6LJT-MHU7;35;2024;35.000;0.000;35.000;107885.600;0.000;107885.600;3082.446;;3082.446
bdnb-bg-1RRR-KYY2-X4WR;35;2018;20.000;0.000;20.000;148894.800;0.000;148894.800;7444.740;;7444.740
bdnb-bg-1RRR-KYY2-X4WR;35;2019;20.000;0.000;20.000;129176.800;0.000;129176.800;6458.840;;6458.840
bdnb-bg-1RRR-KYY2-X4WR;35;2020;20.000;0.000;20.000;110702.400;0.000;110702.400;5535.120;;5535.120
bdnb-bg-1RRR-KYY2-X4WR;35;2021;20.000;0.000;20.000;131130.800;0.000;131130.800;6556.540;;6556.540
bdnb-bg-1RRR-KYY2-X4WR;35;2022;20.000;0.000;20.000;106281.400;0.000;106281.400;5314.070;;5314.070
bdnb-bg-1RRR-KYY2-X4WR;35;2023;20.000;0.000;20.000;95271.000;0.000;95271.000;4763.550;;4763.550
bdnb-bg-1RRR-KYY2-X4WR;35;2024;20.000;0.000;20.000;109842.000;0.000;109842.000;5492.100;;5492.100
bdnb-bg-1RUF-H3AQ-Z7T3;35;2018;18.000;0.000;18.000;148104.900;0.000;148104.900;8228.050;;8228.050
bdnb-bg-1RUF-H3AQ-Z7T3;35;2019;18.000;0.000;18.000;164199.500;0.000;164199.500;9122.194;;9122.194
bdnb-bg-1RUF-H3AQ-Z7T3;35;2020;18.000;0.000;18.000;155911.400;0.000;155911.400;8661.744;;8661.744
bdnb-bg-1RUF-H3AQ-Z7T3;35;2021;18.000;0.000;18.000;171426.800;0.000;171426.800;9523.711;;9523.711
bdnb-bg-1RUF-H3AQ-Z7T3;35;2022;18.000;0.000;18.000;140738.600;0.000;140738.600;7818.811;;7818.811
bdnb-bg-1RUF-H3AQ-Z7T3;35;2023;18.000;0.000;18.000;131508.900;0.000;131508.900;7306.050;;7306.050
bdnb-bg-1RUF-H3AQ-Z7T3;35;2024;18.000;0.000;18.000;130328.800;0.000;130328.800;7240.489;;7240.489
bdnb-bg-1RW4-XEGH-7VPK;35;2018;27.000;0.000;27.000;152719.600;0.000;152719.600;5656.281;;5656.281
bdnb-bg-1RW4-XEGH-7VPK;35;2019;27.000;0.000;27.000;149691.400;0.000;149691.400;5544.126;;5544.126
bdnb-bg-1RW4-XEGH-7VPK;35;2020;27.000;0.000;27.000;151116.000;0.000;151116.000;5596.889;;5596.889
