batiment_groupe_id;code_departement_insee;nb_classe_bilan_dpe_a;nb_classe_bilan_dpe_b;nb_classe_bilan_dpe_c;nb_classe_bilan_dpe_d;nb_classe_bilan_dpe_e;nb_classe_bilan_dpe_f;nb_classe_bilan_dpe_g;nb_classe_conso_energie_arrete_2012_a;nb_classe_conso_energie_arrete_2012_b;nb_classe_conso_energie_arrete_2012_c;nb_classe_conso_energie_arrete_2012_d;nb_classe_conso_energie_arrete_2012_e;nb_classe_conso_energie_arrete_2012_f;nb_classe_conso_energie_arrete_2012_g;nb_classe_conso_energie_arrete_2012_nc
bdnb-bg-YKGB-P6Y8-565L;35;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
bdnb-bg-6FM4-7ER3-P1VT;35;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
bdnb-bg-DT5W-DK8T-GQ32;35;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
bdnb-bg-GK36-79A9-EJVH;35;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
bdnb-bg-LMR6-NYP2-6HS7;35;0;0;1;0;3;1;0;0;0;0;0;1;0;0;1
bdnb-bg-QQXR-ESCA-7XTN;35;0;0;57;2;0;0;0;0;1;7;0;0;0;0;0
bdnb-bg-QW55-CL9T-JNW2;35;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
bdnb-bg-Y3WD-9B2W-NJM1;35;0;1;17;1;0;0;0;0;0;4;8;0;0;0;0
bdnb-bg-UPU4-F1FU-GPVL;35;0;0;6;0;0;0;0;0;0;1;8;1;0;0;0
bdnb-bg-TBW6-4JGP-6DB9;35;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
bdnb-bg-39KZ-8JRQ-WQSW;35;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
bdnb-bg-967B-GHGR-SSMM;35;0;0;4;5;2;0;0;0;0;0;1;3;0;1;0
bdnb-bg-KLMK-MPMA-HKXQ;35;0;0;4;4;3;0;0;0;0;0;1;3;0;1;0
bdnb-bg-5S9F-KGS7-6M85;35;0;0;18;0;0;0;0;0;0;1;7;2;0;0;0
bdnb-bg-FX3R-2EWS-PR53;35;0;0;7;0;0;0;0;0;7;8;5;1;0;0;0
bdnb-bg-81KP-VZSV-1TW8;35;0;0;3;3;0;0;0;0;0;6;1;0;0;0;0
bdnb-bg-EV9S-KMNZ-MYEC;35;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
bdnb-bg-WFQZ-8ZTG-ZMGD;35;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
bdnb-bg-X9XG-J4Q5-L64U;35;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
bdnb-bg-CH5P-LR2B-F4A5;35;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
bdnb-bg-ZJ9F-X84D-9SGU;35;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
bdnb-bg-LPYC-P2V1-V63M;35;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
bdnb-bg-LNY2-SV4Y-17U5;35;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
bdnb-bg-67A7-X3XW-ZZYM;35;0;0;1;2;0;0;0;0;1;0;0;4;0;0;1
bdnb-bg-BLCC-UR7E-H7X3;35;0;0;1;1;0;0;0;0;1;0;0;3;0;0;1
bdnb-bg-JTGV-BBFD-XJH9;35;0;0;0;1;0;0;0;0;1;0;0;3;0;0;1
bdnb-bg-ZCKE-SN8E-XF88;35;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
bdnb-bg-RU76-XMNS-XAZT;35;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
bdnb-bg-ERUH-JZDJ-T5R7;35;0;0;3;0;1;0;0;0;0;0;3;2;1;0;0
bdnb-bg-DHBM-R8KC-8XNX;35;1;3;7;2;0;0;0;0;1;8;0;0;0;0;1
bdnb-bg-CVS4-GMJ6-9JBL;35;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0
bdnb-bg-EQCB-1PEM-4GNN;35;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
bdnb-bg-RVPE-XFMF-1Y5L;35;0;0;7;1;0;0;0;0;1;9;3;0;0;0;0
bdnb-bg-42CG-G8K5-ZFXZ;35;0;0;0;13;5;1;0;0;0;2;11;6;0;0;7
bdnb-bg-RA6K-84RH-R3VK;35;0;0;0;3;0;0;0;0;0;0;1;1;0;0;0
bdnb-bg-MJB8-GPGK-7BY9;35;0;0;0;1;4;1;1;0;0;0;4;4;1;1;0
bdnb-bg-ZZWP-UJ2A-9GGL;35;0;0;0;3;0;0;0;0;0;1;2;0;0;0;0
bdnb-bg-SUQH-UPS7-24S6;35;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
bdnb-bg-6P6F-C8P8-298M;35;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
bdnb-bg-VDJR-7UE9-4PCR;35;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0
bdnb-bg-USMV-FB8Q-53WH;35;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
bdnb-bg-KR7J-W88W-JEPM;35;0;0;5;5;0;0;0;0;0;7;4;0;0;0;0
bdnb-bg-BSXM-44A1-35E4;35;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
bdnb-bg-MT9E-37HN-Q217;35;0;0;13;29;21;3;1;0;0;3;27;8;0;0;3
bdnb-bg-AW41-3V7Z-JHC5;35;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
bdnb-bg-5SAF-8L5T-GEES;35;0;0;0;1;2;0;1;0;0;0;0;3;1;0;1
bdnb-bg-7RYB-95L2-YZQN;35;0;0;0;1;0;0;0;0;0;0;2;0;0;0;2
bdnb-bg-UKE5-SLBF-6QMW;35;0;0;1;0;1;0;0;0;0;0;1;0;1;2;0
bdnb-bg-SCTJ-N8A3-YFUG;35;0;0;2;3;2;0;0;0;0;0;0;2;2;0;0
bdnb-bg-USCR-Z91Q-Z2HB;35;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
bdnb-bg-E531-AWFH-TF7G;35;0;0;1;2;2;0;0;0;0;0;0;0;2;0;0
bdnb-bg-16M5-49RY-7YWD;35;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
bdnb-bg-L3GS-AY13-GURE;35;0;0;10;1;1;0;0;0;0;0;0;1;1;0;0
bdnb-bg-SQBN-PS5T-KGBT;35;0;0;2;2;0;0;0;0;0;2;0;0;1;0;0
bdnb-bg-FMM8-8ZW3-T8K7;35;0;0;2;11;5;1;0;0;0;1;7;11;0;0;0
bdnb-bg-NJGB-QQ31-HMAD;35;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
bdnb-bg-SRJ4-MUGL-85DW;35;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
bdnb-bg-676Y-HPFX-YFQY;35;0;0;7;3;0;0;0;0;0;11;5;0;0;0;0
bdnb-bg-K3F1-Q4XH-SLQ3;35;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
bdnb-bg-87D7-82FB-EF6B;35;0;0;5;4;3;1;2;0;0;0;2;5;1;0;0
bdnb-bg-LKT2-YKLY-BG3U;35;0;0;1;0;0;0;0;0;1;1;3;0;0;0;0
bdnb-bg-1GCV-NNDJ-5SWR;35;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1
bdnb-bg-PSAY-XJDH-4YHQ;35;0;0;2;4;1;0;0;0;0;5;5;5;1;0;0
bdnb-bg-N6GS-EML9-PJNM;35;0;0;7;0;0;0;0;0;0;0;8;0;0;0;0
bdnb-bg-3X4X-3UBB-1E5M;35;0;0;3;0;0;0;0;0;1;3;0;0;0;0;0
bdnb-bg-TJHE-1TJ8-U63E;35;0;0;10;7;3;0;0;0;0;1;3;3;3;0;0
bdnb-bg-7JLM-HGC6-GDUW;35;0;0;7;19;4;1;0;0;0;1;8;1;6;0;0
bdnb-bg-RQ3N-PU72-QBUL;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
bdnb-bg-7W8T-MKZJ-39ME;35;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
bdnb-bg-2TSN-CRQE-E8G1;35;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
bdnb-bg-P2L4-3S94-4FXL;35;0;0;0;3;3;0;0;0;0;1;1;2;0;0;0
bdnb-bg-YYFE-DN1C-XPNU;35;0;0;7;1;0;0;0;0;0;0;5;0;0;0;0
bdnb-bg-FKV3-FD7H-HYZ2;35;0;0;2;21;7;0;1;0;0;1;15;7;4;1;2
bdnb-bg-HYQX-KDDJ-NZDG;35;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
bdnb-bg-QP1V-LF6W-DPZ3;35;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
bdnb-bg-QSNY-HKYP-GTAG;35;0;0;1;2;2;0;0;0;0;0;2;4;0;0;0
bdnb-bg-LVXE-8ASH-A9DG;35;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
bdnb-bg-4NWS-QJDN-2VHY;35;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
bdnb-bg-3T9A-TXRX-96FX;35;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
bdnb-bg-35Z8-HLR1-7W2S;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
bdnb-bg-WQQZ-2ZDA-NZ1B;35;0;0;1;19;4;0;0;1;0;3;8;2;0;0;2
