batiment_groupe_id;code_departement_insee;identifiant_dpe;type_dpe_tertiaire;source_nouvelle_base_ademe;version;date_etablissement_dpe;date_reception_dpe;annee_construction_dpe;shon;surface_utile;classe_conso_energie_dpe_tertiaire;classe_emission_ges_dpe_tertiaire;conso_dpe_tertiaire_ep_m2;emission_ges_dpe_tertiaire_m2;categorie_erp_dpe_tertiaire;periode_construction_dpe;type_erp_dpe_tertiaire;methode_application_dpe_tertiaire;sous_modele_dpe_tertiaire;type_energie_chauffage;type_energie_ecs;type_energie_climatisation;derniere_annee_consommation;conso_autre_fossile;conso_bois;conso_electricite;conso_fioul;conso_gaz;conso_gpl_butane_propane;conso_reseau_chaleur;conso_reseau_froid
bdnb-bg-MTME-6B35-GGRZ;35;1635V7000129S;dpe 2006 tertiaire et erp;0;;;2016/11/30 00:00:00;1930;;;;;;;;avant 1948;;dpe tertiaire vierge;;;;;;;;;;;;;
bdnb-bg-MTNV-BTDF-QH3X;35;2335T3755453N;dpe 2006 tertiaire et erp;1;2.3;2023/11/05 23:00:00;2023/11/06 11:15:49.075;;1458;;;;;;5ème catégorie;1983-1988;m : magasins de vente, centres commerciaux;dpe tertiaire vierge;;;;;;;;;;;;;
bdnb-bg-MTV2-3MJU-YRDE;35;1835V8000271T;dpe 2006 tertiaire et erp;0;;;2018/07/18 00:00:00;1947;200;;;;;;;avant 1948;;dpe tertiaire vierge;;gaz;gaz;;;;;;;;;;
bdnb-bg-MU23-VK5D-73Z8;35;1435V7000014J;dpe 2006 tertiaire et erp;0;;;2014/02/06 00:00:00;1947;44;;;;;;;avant 1948;;dpe tertiaire vierge;;electricite;electricite;;;;;;;;;;
bdnb-bg-MUZ4-8CYZ-7D5C;35;1435V3000048M;dpe 2006 tertiaire et erp;0;;;2014/10/23 00:00:00;;202;;;;;;;;;dpe tertiaire vierge;;electricite;electricite;;;;;;;;;;
bdnb-bg-MV13-7BLN-6TUV;35;1735V7000093T;dpe 2006 tertiaire et erp;0;;;2017/08/25 00:00:00;;500;;;;;;;;;dpe tertiaire vierge;;electricite;gaz;;;;;;;;;;
bdnb-bg-N2VA-Z91W-1F5T;35;1735V8000285X;dpe 2006 tertiaire et erp;0;;;2017/05/23 00:00:00;1947;35;;;;;;;avant 1948;;dpe tertiaire vierge;;electricite;electricite;;;;;;;;;;
bdnb-bg-N9DP-TGUT-N628;35;1435V7000044M;dpe 2006 tertiaire et erp;0;;;2014/05/13 00:00:00;1980;;;;;;;5ème catégorie;1978-1982;m : magasins de vente, centres commerciaux;dpe tertiaire vierge;;;;;;;;;;;;;
bdnb-bg-N9MS-J8SS-N4ZN;35;2235T0931347A;dpe 2006 tertiaire et erp;1;2.1;2022/05/01 22:00:00;2022/05/02 09:09:52.749;1900;;155;;;;;;avant 1948;autres tertiaires non erp;dpe tertiaire vierge;;;;;;;;;;;;;
bdnb-bg-NALF-QZ9Z-JKZ3;35;1535V8000004K;dpe 2006 tertiaire et erp;0;;;2015/01/06 00:00:00;1947;;160;;;;;;avant 1948;;dpe tertiaire vierge;;gaz;electricite;;;;;;;;;;
bdnb-bg-NDPF-K923-R9MR;35;2535T1869742G;dpe 2006 tertiaire et erp;1;2.4;2025/06/05 22:00:00;2025/06/06 12:56:36.696;;91.19;;;;;;5ème catégorie;avant 1948;m : magasins de vente, centres commerciaux;dpe tertiaire vierge dans un bâtiment de logement;autres;;;;;;;;;;;;
bdnb-bg-NE18-GSNJ-YYTG;35;2435T1878896H;dpe 2006 tertiaire et erp;1;2.3;2024/05/27 22:00:00;2024/05/28 14:33:26.134;;141.56;;;;;;5ème catégorie;avant 1948;m : magasins de vente, centres commerciaux;dpe tertiaire vierge;;;;;;;;;;;;;
bdnb-bg-NEZV-KCR4-REYV;35;1435V4000088R;dpe 2006 tertiaire et erp;0;;;2014/04/18 00:00:00;1947;;950;;;;;;avant 1948;m : magasins de vente, centres commerciaux;dpe tertiaire vierge;;electricite;electricite;;;;;;;;;;
bdnb-bg-MYR4-JVQQ-ZP8U;35;2635T0076754F;dpe 2006 tertiaire et erp;1;2.6;2026/01/11 23:00:00;2026/01/12 14:30:43.744;1999;562;562;;;;;5ème catégorie;1989-2000;autres tertiaires non erp;dpe tertiaire vierge;autres;;;;;;;;;;;;
