id,id_ex,siret,rup_mi,gestion,date_creat,date_decla,date_publi,date_disso,nature,groupement,titre,titre_court,objet,objet_social1,objet_social2,adrs_complement,adrs_numvoie,adrs_repetition,adrs_typevoie,adrs_libvoie,adrs_distrib,adrs_codeinsee,adrs_codepostal,adrs_libcommune,adrg_declarant,adrg_complemid,adrg_complemgeo,adrg_libvoie,adrg_distrib,adrg_codepostal,adrg_achemine,adrg_pays,dir_civilite,siteweb,publiweb,observation,position,maj_time
W563003813,0563341120,,,353P,1987-01-16,2023-09-07,1987-02-11,0001-01-01,D,S,GUILDE DE BRETAGNE DE JEUX DE SIMULATION,GUILDE DE BRETAGNE DE JEUX DE SIMUL...,a,007000,000000,maison de quartier Francisco Ferrer,40,,RUE,Montaigne,,35238,35200,Rennes,,,,17 RUE DE LA CHEZE,,35380,TREFFENDEL,FRANCE,PM,,0,Reprise  =>  date ag=0000-00-00,A,2024-03-08 19:05:07
W563003923,0563338735,,,353P,1996-08-27,2024-08-05,0001-01-01,0001-01-01,D,S,A.I.R.F.A.F. BRETAGNE - ASSOCIATION INTERREGIONALE DE FABRICANTS DALIMENTS A LA FERME,A.I.R.F.A.F. BRETAGNE - ASSOCIATION...,representer les eleveurs fabriquant laliment a la ferme et de promouvoir toutes actions visant a ameliorer lefficacite et limage de la fabrication daliment a la ferme dans les elevages,014000,000000,,,,RUE,Maurice Le Lannou,CS 14226Maison de lAgriculture,35238,35042,Rennes,,,,BOTCOZEL,,22230,LE HAUT CORLAY,FRANCE,PM,,0,Reprise  =>  date ag=0000-00-00,A,2024-09-06 12:44:17
W563003942,,,,353P,2012-05-09,2024-09-02,2012-05-19,0001-01-01,D,S,GSNAL BRETAGNE GESTION DU SYNDICAT NATIONAL DES AMENAGEURS LOTISSEURS,GSNAL BRETAGNE,"rassembler les membres de la Chambre Regionale Bretagne de ce syndicat afin de realiser des operations commerciales en vue : dassurer la promotion de limage de la profession damenageurs et de lotisseurs aupres des decideurs connexes et du public de la region Bretagne  faciliter louverture dun reseau de communication sur les produits, les competences techniques et le savoir-faire des partenaires institutionnels aupres des adherents  etudier tous les problemes individuels et assurer les prestations de conseil se rattachant a lexercice de la profession tant dordre public que prive  promouvoir ladaptation de la profession a la survenance de perspectives nouvelles resultant devolutions economiques, administratives ou autres qui la concernent  creer et gerer tous services et toutes oeuvres utiles a leurs membres, participer a la constitution et au fonctionnement de tous groupements ayant pour objet le developpement economique de ses membres",032000,000000,,4,,RUE,Jouanet,,35238,35700,Rennes,,IMMEUBLE LE MARYGOLD,,3  RUE PITRE CHEVALIER,,29000,QUIMPER,FRANCE,PM,,0,,A,2025-03-04 19:00:02
W563004483,,,,353P,2013-04-04,2025-11-11,2013-04-20,0001-01-01,D,S,AN DROUIZIG,AN DROUIZIG,"permettre aux locuteurs de faire usage de leur langue au quotidien et en toutes circonstances, aussi bien professionnelles que personnelles  developper des outils linguistiques bases sur les technologies de linformation et de la communication tic  creer du materiel pedagogique innovant pour les langues, sous toutes les formes susceptibles detre efficaces : edition, progressions pedagogiques, tic proposer des formations a des metiers linguistiques, a la communication et a des methodes de communication, a lusage des outils quelle aura developpe",015000,000000,,46,,MAIL,Gaston Bardet,,35240,35650,Rheu,,,,19 RUE GEOFFROY DROUET,,44000,NANTES,FRANCE,PM,https:drouizig.org,0,,A,2026-05-13 18:00:02
W563004665,,,,353P,2013-07-29,2022-02-22,2013-08-10,0001-01-01,D,S,RESEAU DES JURISTES TERRITORIAUX DE LOUEST,RESEAU DES JURISTES TERRITORIAUX OUEST,"rassembler librement les juristes territoriaux de lOuest entendu au sens large de France metropolitaine en vue detre un interlocuteur identifie et identifiable des institutions partenaires, que ce soit lANJT, le CNFPT ou les differents professionnels du droit tout en faisant en sorte que cette structuration nee dun regroupement spontane et informel puisse conserver la souplesse de ce reseau de juristes territoriaux  promouvoir la profession de juriste territorial  etre un interlocuteur aupres des instances regionales ou nationales de representants des collectivites territoriales et de leurs groupements  assurer la promotion et la diffusion au sein des membres de lassociation dune veille juridique ou documentaire sur les problematiques des collectivites territoriales et de leurs groupements  developper lentraide entre professionnels et in fine lefficacite des uns et des autres via les echanges dexperiences",014000,000000,Hotel de Region Bretagne,283,,AV,du General Patton,,35238,35000,Rennes,,,,32 BOULEVARD DUPLEIX,,29000,QUIMPER,FRANCE,PM,,0,,A,2022-08-24 20:00:04
W563004855,,80062252400034,,353P,2014-01-27,2025-04-22,2014-02-08,0001-01-01,D,S,FEMMES DE BRETAGNE,FEMMES DE BRETAGNE,favoriser lentrepreneuriat au feminin en Bretagne en levant les freins a la prise dinitiative par les femmes  en proposant des solutions de mise en reseau et daccompagnement personnalise sur la duree  en facilitant les demarches dacces aux financements des projets portes par les femmes  en securisant les conditions de demarrage de ces initiatives  en encourageant les initiatives responsables  federer lensemble des acteurs concernes autour des femmes porteurs de projets : femmes de Bretagne  lensemble des reseaux de la creation et reprise dentreprises  le pool des financeurs publics et prives de la creation dentreprise  les fondations et les agences acteurs dune economie responsable  les media bretons,003020,000000,,45,,RUE,Fernand Robert,,35238,35000,Rennes,,,,45 RUE FERNAND ROBERT,,35000,RENNES,FRANCE,PF,http:www.femmesdebretagne.fr,0,,A,2025-10-22 18:00:02
W563005297,,,,352S,2014-09-19,2017-07-27,2014-10-25,0001-01-01,D,S,ABEILLE BRETONNE,ABEILLE BRETONNE,"organisation des soirees payantes ou journees reunissant les membres du club des soirees BIZH en Bretagne, lobjectif est de reunir les personnes de plus de 30 ans et qui veulent sortir faire la fete, il est prevu de faire environ 10 evenements par an,",007000,000000,,1,,IMP,Leon Bourgeois,,35139,35890,Laille,,,,1 IMPASSE LEON BOURGEOIS,,35890,LAILLE,FRANCE,PF,,0,,A,2026-06-04 06:46:39
W563005364,,83838309900010,,353P,2014-11-09,2024-02-26,2014-12-06,0001-01-01,D,S,LES RIFFS DU CHAT,LES RIFFS DU CHAT,enregistrement sonore et edition musicale,006030,000000,,13,,RUE,du Calvaire,,35001,35690,Acigne,,,,"13, RUE DU CALVAIRE",,35690,ACIGNE,FRANCE,PF,,0,,A,2024-08-27 18:07:42
W563005562,0563337137,,,353P,1996-10-15,2022-10-28,0001-01-01,2022-09-22,D,S,ACTIVMEMOIRE,ACTIVMEMOIRE,a,006000,000000,,31,,RUE,Louis Hemon,,35238,35703,Rennes,,,,31 RUE LOUIS HeMON,,35200,RENNES,FRANCE,PF,,0,Reprise  =>  date ag=0000-00-00,D,2023-01-03 16:00:31
W563007240,0563306713,,,353P,1995-04-06,2018-10-03,0001-01-01,0001-01-01,D,S,ASSOCIATION DES KINESITHERAPEUTES DU SPORT DE LOUEST AKSO,ASSOCIATION DES KINESITHERAPEUTES D...,promouvoir la kinesitherapie du sport dans la region ouest,017125,000000,,20,,RUE,des Fosses,,35238,35000,Rennes,,,,20 RUE DES FOSSeS,,35000,RENNES,FRANCE,PM,,0,Reprise  =>  date ag=0000-00-00,A,2018-10-03 13:25:51
