annee_consommation,zone_climatique,code_region,nom_region,code_departement,nom_departement,nom_commune,vecteur_energie,consommation_declaree
2020,H2a,53,Bretagne,35,Ille-et-Vilaine,SAINT GREGOIRE,Electricite,29681948
2020,H2a,53,Bretagne,35,Ille-et-Vilaine,SAINT GREGOIRE,Gaz,10250770
2020,H2a,53,Bretagne,35,Ille-et-Vilaine,SAINT JACQUES DE LA LANDE,Electricite,17982720
2020,H2a,53,Bretagne,35,Ille-et-Vilaine,SAINT JACQUES DE LA LANDE,Gaz,6031734
2020,H2a,53,Bretagne,35,Ille-et-Vilaine,THORIGNE FOUILLARD,Electricite,3955931
2020,H2a,53,Bretagne,35,Ille-et-Vilaine,THORIGNE FOUILLARD,Gaz,2645317
2020,H2a,53,Bretagne,35,Ille-et-Vilaine,VERN SUR SEICHE,Bois,209484
2020,H2a,53,Bretagne,35,Ille-et-Vilaine,VERN SUR SEICHE,Electricite,6867674
2020,H2a,53,Bretagne,35,Ille-et-Vilaine,VERN SUR SEICHE,Gaz,2854061
2020,H2a,53,Bretagne,35,Ille-et-Vilaine,VEZIN LE COQUET,Electricite,1447049
2020,H2a,53,Bretagne,35,Ille-et-Vilaine,VEZIN LE COQUET,Gaz,269557
2020,H2a,53,Bretagne,35,Ille-et-Vilaine,VEZIN LE COQUET,Reseau de chaleur,369893
2020,H2b,53,Bretagne,35,Ille-et-Vilaine,CESSON SEVIGNE,Electricite,66853
2020,H2c,53,Bretagne,35,Ille-et-Vilaine,CESSON SEVIGNE,Electricite,63931
2020,H3,53,Bretagne,35,Ille-et-Vilaine,CESSON SEVIGNE,Electricite,70319
2020,H3,53,Bretagne,35,Ille-et-Vilaine,PACE,Electricite,226366
2020,H3,76,Occitanie,30,Gard,SAINT GILLES,Electricite,5307934
2020,H3,76,Occitanie,30,Gard,SAINT GILLES,Gaz,724659
2021,H1a,53,Bretagne,35,Ille-et-Vilaine,CESSON SEVIGNE,Electricite,1374114
2021,H2a,53,Bretagne,35,Ille-et-Vilaine,ACIGNE,Electricite,648178
2021,H2a,53,Bretagne,35,Ille-et-Vilaine,ACIGNE,Gaz,654943
2021,H2a,53,Bretagne,35,Ille-et-Vilaine,BETTON,Electricite,5748969
2021,H2a,53,Bretagne,35,Ille-et-Vilaine,BETTON,Gaz,3463110
2021,H2a,53,Bretagne,35,Ille-et-Vilaine,BOURGBARRE,Electricite,1188902
2021,H2a,53,Bretagne,35,Ille-et-Vilaine,BOURGBARRE,Gaz,1801732
2021,H2a,53,Bretagne,35,Ille-et-Vilaine,BRECE,Electricite,2184176
2021,H2a,53,Bretagne,35,Ille-et-Vilaine,BRECE,Gaz,584884
2021,H2a,53,Bretagne,35,Ille-et-Vilaine,BRUZ,Electricite,14341697
2021,H2a,53,Bretagne,35,Ille-et-Vilaine,BRUZ,Gaz,15555056
2021,H2a,53,Bretagne,35,Ille-et-Vilaine,CESSON SEVIGNE,Electricite,65931700
2021,H2a,53,Bretagne,35,Ille-et-Vilaine,CESSON SEVIGNE,Gaz,12684656
2021,H2a,53,Bretagne,35,Ille-et-Vilaine,CHANTEPIE,Electricite,20825746
2021,H2a,53,Bretagne,35,Ille-et-Vilaine,CHANTEPIE,Gaz,5427665
2021,H2a,53,Bretagne,35,Ille-et-Vilaine,CHARTRES DE BRETAGNE,Electricite,3129175
2021,H2a,53,Bretagne,35,Ille-et-Vilaine,CHARTRES DE BRETAGNE,Gaz,4360710
2021,H2a,53,Bretagne,35,Ille-et-Vilaine,CHARTRES DE BRETAGNE,Reseau de chaleur,204537
2021,H2a,53,Bretagne,35,Ille-et-Vilaine,CHARTRES DE BRETAGNE,Reseau de froid,13413
2021,H2a,53,Bretagne,35,Ille-et-Vilaine,CHAVAGNE,Electricite,247362
2021,H2a,53,Bretagne,35,Ille-et-Vilaine,CORPS NUDS,Electricite,436576
2021,H2a,53,Bretagne,35,Ille-et-Vilaine,CORPS NUDS,Gaz,367667
2021,H2a,53,Bretagne,35,Ille-et-Vilaine,GEVEZE,Electricite,1253672
2021,H2a,53,Bretagne,35,Ille-et-Vilaine,GEVEZE,Gaz,868086
2021,H2a,53,Bretagne,35,Ille-et-Vilaine,LA CHAPELLE DES FOUGERETZ,Electricite,524623
2021,H2a,53,Bretagne,35,Ille-et-Vilaine,LA CHAPELLE DES FOUGERETZ,Gaz,399938
2021,H2a,53,Bretagne,35,Ille-et-Vilaine,LA CHAPELLE THOUARAULT,Electricite,196571
2021,H2a,53,Bretagne,35,Ille-et-Vilaine,LAILLE,Electricite,1475658
2021,H2a,53,Bretagne,35,Ille-et-Vilaine,LAILLE,Gaz,631044
2021,H2a,53,Bretagne,35,Ille-et-Vilaine,LAILLE,Reseau de chaleur,376370
2021,H2a,53,Bretagne,35,Ille-et-Vilaine,LE RHEU,Electricite,10331343
2021,H2a,53,Bretagne,35,Ille-et-Vilaine,LE RHEU,Gaz,7421756
2021,H2a,53,Bretagne,35,Ille-et-Vilaine,MONTGERMONT,Electricite,1936473
2021,H2a,53,Bretagne,35,Ille-et-Vilaine,MONTGERMONT,Gaz,622518
2021,H2a,53,Bretagne,35,Ille-et-Vilaine,MORDELLES,Electricite,8721181
2021,H2a,53,Bretagne,35,Ille-et-Vilaine,MORDELLES,Gaz,3217746
2021,H2a,53,Bretagne,35,Ille-et-Vilaine,NOUVOITOU,Electricite,207245
2021,H2a,53,Bretagne,35,Ille-et-Vilaine,NOUVOITOU,Gaz,516161
2021,H2a,53,Bretagne,35,Ille-et-Vilaine,NOYAL CHATILLON SUR SEICHE,Electricite,7934341
2021,H2a,53,Bretagne,35,Ille-et-Vilaine,NOYAL CHATILLON SUR SEICHE,Gaz,3744803
2021,H2a,53,Bretagne,35,Ille-et-Vilaine,ORGERES,Electricite,1293678
2021,H2a,53,Bretagne,35,Ille-et-Vilaine,ORGERES,Gaz,1718844
2021,H2a,53,Bretagne,35,Ille-et-Vilaine,PACE,Electricite,9507373
2021,H2a,53,Bretagne,35,Ille-et-Vilaine,PACE,Gaz,6668322
