date_mesure,geocode_commune,libelle_commune,type_installation,vecteur,valeur
2010-01-01,35281,Saint-Jacques-de-la-Lande,Photovoltaïque,Solaire,0.24362000000000003
2010-01-01,35310,Saint-Sauveur-des-Landes,Photovoltaïque,Solaire,0.23939
2010-01-01,35315,Saint-Sulpice-la-Forêt,Photovoltaïque,Solaire,0.06405
2010-01-01,35334,Thorigné-Fouillard,Photovoltaïque,Solaire,0.30219
2010-01-01,35351,Le Verger,Photovoltaïque,Solaire,0.12332
2010-01-01,35352,Vern-sur-Seiche,Photovoltaïque,Solaire,0.32985000000000003
2010-01-01,35353,Vezin-le-Coquet,Photovoltaïque,Solaire,0.33517
2010-01-01,35363,Pont-Péan,Photovoltaïque,Solaire,0.30232
2011-01-01,35001,Acigné,Photovoltaïque,Solaire,0.62788
2011-01-01,35024,Betton,Photovoltaïque,Solaire,0.55398
2011-01-01,35032,Bourgbarré,Photovoltaïque,Solaire,1.8346999999999998
2011-01-01,35039,Brécé,Photovoltaïque,Solaire,0.13982
2011-01-01,35047,Bruz,Photovoltaïque,Solaire,0.76645
2011-01-01,35051,Cesson-Sévigné,Photovoltaïque,Solaire,0.7035899999999999
2011-01-01,35055,Chantepie,Photovoltaïque,Solaire,0.30832
2011-01-01,35058,La Chapelle-Chaussée,Photovoltaïque,Solaire,0.18099
2011-01-01,35059,La Chapelle-des-Fougeretz,Autre,Thermique non renouvelable,3.938
2011-01-01,35059,La Chapelle-des-Fougeretz,Photovoltaïque,Solaire,0.6168699999999999
2011-01-01,35065,La Chapelle-Thouarault,Photovoltaïque,Solaire,0.29249
2011-01-01,35066,Chartres-de-Bretagne,Photovoltaïque,Solaire,0.26149
2011-01-01,35076,Chavagne,Photovoltaïque,Solaire,0.59147
2011-01-01,35079,Chevaigné,Photovoltaïque,Solaire,0.22569
2011-01-01,35080,Cintré,Photovoltaïque,Solaire,0.16557
2011-01-01,35088,Corps-Nuds,Photovoltaïque,Solaire,0.55002
2011-01-01,35120,Gévezé,Non renseigné,Bioénergies,0.15
2011-01-01,35120,Gévezé,Photovoltaïque,Solaire,0.59723
2011-01-01,35131,L'Hermitage,Non renseigné,Thermique non renouvelable,7.424
2011-01-01,35131,L'Hermitage,Photovoltaïque,Solaire,0.30602999999999997
2011-01-01,35132,Hirel,Photovoltaïque,Solaire,0.14237
2011-01-01,35135,Irodouër,Photovoltaïque,Solaire,0.38038
2011-01-01,35136,Janzé,Photovoltaïque,Solaire,0.80908
2011-01-01,35139,Laillé,Photovoltaïque,Solaire,0.64652
2011-01-01,35144,Langan,Photovoltaïque,Solaire,0.19526
2011-01-01,35150,Lécousse,Photovoltaïque,Solaire,0.38794
2011-01-01,35160,Loutehel,Photovoltaïque,Solaire,0.04967
2011-01-01,35170,Mecé,Photovoltaïque,Solaire,0.05249
2011-01-01,35180,Miniac-sous-Bécherel,Photovoltaïque,Solaire,0.10806
2011-01-01,35189,Montgermont,Photovoltaïque,Solaire,0.35314
2011-01-01,35190,Monthault,Photovoltaïque,Solaire,0.10695
2011-01-01,35196,Mordelles,Photovoltaïque,Solaire,0.49457000000000007
2011-01-01,35200,Moutiers,Photovoltaïque,Solaire,0.32282
2011-01-01,35204,Nouvoitou,Photovoltaïque,Solaire,0.27534000000000003
2011-01-01,35206,Noyal-Châtillon-sur-Seiche,Photovoltaïque,Solaire,0.69153
2011-01-01,35208,Orgères,Photovoltaïque,Solaire,0.60497
2011-01-01,35210,Pacé,Photovoltaïque,Solaire,1.11201
2011-01-01,35216,Parthenay-de-Bretagne,Photovoltaïque,Solaire,0.10745
2011-01-01,35230,Poilley,Photovoltaïque,Solaire,0.22137
2011-01-01,35235,Rannée,Photovoltaïque,Solaire,0.36697
2011-01-01,35238,Rennes,Autre,Thermique non renouvelable,8.5
2011-01-01,35238,Rennes,Cogénération à vapeur,Bioénergies,9.5
2011-01-01,35238,Rennes,Cogénération à vapeur,Thermique non renouvelable,1.454
2011-01-01,35238,Rennes,Photovoltaïque,Solaire,1.81125
2011-01-01,35240,Le Rheu,Photovoltaïque,Solaire,0.47805999999999993
2011-01-01,35245,Romillé,Photovoltaïque,Solaire,0.74726
2011-01-01,35250,Saint-Armel,Photovoltaïque,Solaire,0.14383
2011-01-01,35266,Saint-Erblon,Photovoltaïque,Solaire,0.17876
2011-01-01,35275,Saint-Gilles,Photovoltaïque,Solaire,0.84581
2011-01-01,35278,Saint-Grégoire,Photovoltaïque,Solaire,0.47964000000000007
2011-01-01,35281,Saint-Jacques-de-la-Lande,Photovoltaïque,Solaire,0.24362000000000003
2011-01-01,35310,Saint-Sauveur-des-Landes,Photovoltaïque,Solaire,0.37839
2011-01-01,35315,Saint-Sulpice-la-Forêt,Photovoltaïque,Solaire,0.13685
2011-01-01,35334,Thorigné-Fouillard,Photovoltaïque,Solaire,0.30219
2011-01-01,35351,Le Verger,Photovoltaïque,Solaire,0.12332
2011-01-01,35352,Vern-sur-Seiche,Photovoltaïque,Solaire,1.55093
2011-01-01,35353,Vezin-le-Coquet,Photovoltaïque,Solaire,0.33517
2011-01-01,35363,Pont-Péan,Photovoltaïque,Solaire,0.30232
2012-01-01,35001,Acigné,Photovoltaïque,Solaire,0.62788
2012-01-01,35024,Betton,Photovoltaïque,Solaire,0.55398
2012-01-01,35032,Bourgbarré,Photovoltaïque,Solaire,2.7437
2012-01-01,35039,Brécé,Photovoltaïque,Solaire,0.13982
2012-01-01,35047,Bruz,Photovoltaïque,Solaire,0.76645
2012-01-01,35051,Cesson-Sévigné,Photovoltaïque,Solaire,0.7885899999999999
2012-01-01,35055,Chantepie,Photovoltaïque,Solaire,0.30832
2012-01-01,35058,La Chapelle-Chaussée,Photovoltaïque,Solaire,0.18099
2012-01-01,35059,La Chapelle-des-Fougeretz,Autre,Thermique non renouvelable,7.29
2012-01-01,35059,La Chapelle-des-Fougeretz,Photovoltaïque,Solaire,0.6168699999999999
2012-01-01,35065,La Chapelle-Thouarault,Photovoltaïque,Solaire,0.34349
2012-01-01,35066,Chartres-de-Bretagne,Photovoltaïque,Solaire,0.26149
2012-01-01,35076,Chavagne,Photovoltaïque,Solaire,0.7304700000000001
2012-01-01,35079,Chevaigné,Photovoltaïque,Solaire,0.22569
2012-01-01,35080,Cintré,Photovoltaïque,Solaire,0.16557
2012-01-01,35088,Corps-Nuds,Photovoltaïque,Solaire,0.6450199999999999
2012-01-01,35120,Gévezé,Non renseigné,Bioénergies,0.15
2012-01-01,35120,Gévezé,Photovoltaïque,Solaire,0.59723
2012-01-01,35131,L'Hermitage,Non renseigné,Thermique non renouvelable,7.424
2012-01-01,35131,L'Hermitage,Photovoltaïque,Solaire,0.30602999999999997
2012-01-01,35132,Hirel,Photovoltaïque,Solaire,0.14237
2012-01-01,35135,Irodouër,Photovoltaïque,Solaire,0.38038
2012-01-01,35136,Janzé,Photovoltaïque,Solaire,0.80908
2012-01-01,35139,Laillé,Photovoltaïque,Solaire,0.64652
2012-01-01,35144,Langan,Photovoltaïque,Solaire,0.19526
2012-01-01,35150,Lécousse,Photovoltaïque,Solaire,0.38794
2012-01-01,35160,Loutehel,Photovoltaïque,Solaire,0.04967
2012-01-01,35170,Mecé,Photovoltaïque,Solaire,0.05249
2012-01-01,35180,Miniac-sous-Bécherel,Photovoltaïque,Solaire,0.10806
2012-01-01,35189,Montgermont,Photovoltaïque,Solaire,0.35314
2012-01-01,35190,Monthault,Photovoltaïque,Solaire,0.10695
2012-01-01,35196,Mordelles,Photovoltaïque,Solaire,0.5359700000000001
2012-01-01,35200,Moutiers,Photovoltaïque,Solaire,0.32282
2012-01-01,35204,Nouvoitou,Photovoltaïque,Solaire,0.27534000000000003
2012-01-01,35206,Noyal-Châtillon-sur-Seiche,Photovoltaïque,Solaire,0.69153
2012-01-01,35208,Orgères,Photovoltaïque,Solaire,0.77797
2012-01-01,35210,Pacé,Photovoltaïque,Solaire,1.18701
2012-01-01,35216,Parthenay-de-Bretagne,Photovoltaïque,Solaire,0.10745
2012-01-01,35230,Poilley,Photovoltaïque,Solaire,0.22137
2012-01-01,35235,Rannée,Photovoltaïque,Solaire,0.47197
2012-01-01,35238,Rennes,Autre,Thermique non renouvelable,8.5
2012-01-01,35238,Rennes,Cogénération à vapeur,Bioénergies,9.5
2012-01-01,35238,Rennes,Cogénération à vapeur,Thermique non renouvelable,1.454
2012-01-01,35238,Rennes,Photovoltaïque,Solaire,1.91025
2012-01-01,35240,Le Rheu,Photovoltaïque,Solaire,0.47805999999999993
2012-01-01,35245,Romillé,Photovoltaïque,Solaire,0.80626
2012-01-01,35250,Saint-Armel,Photovoltaïque,Solaire,0.14383
2012-01-01,35266,Saint-Erblon,Photovoltaïque,Solaire,0.17876
2012-01-01,35275,Saint-Gilles,Photovoltaïque,Solaire,0.84581
2012-01-01,35278,Saint-Grégoire,Photovoltaïque,Solaire,0.47964000000000007
2012-01-01,35281,Saint-Jacques-de-la-Lande,Photovoltaïque,Solaire,0.24362000000000003
2012-01-01,35310,Saint-Sauveur-des-Landes,Photovoltaïque,Solaire,0.37839
2012-01-01,35315,Saint-Sulpice-la-Forêt,Photovoltaïque,Solaire,0.13685
2012-01-01,35334,Thorigné-Fouillard,Photovoltaïque,Solaire,0.30219
2012-01-01,35351,Le Verger,Photovoltaïque,Solaire,0.12332
2012-01-01,35352,Vern-sur-Seiche,Photovoltaïque,Solaire,1.55093
2012-01-01,35353,Vezin-le-Coquet,Photovoltaïque,Solaire,0.33517
2012-01-01,35363,Pont-Péan,Photovoltaïque,Solaire,0.30232
2013-01-01,35001,Acigné,Photovoltaïque,Solaire,0.62788
2013-01-01,35024,Betton,Photovoltaïque,Solaire,0.55398
2013-01-01,35032,Bourgbarré,Photovoltaïque,Solaire,2.8196999999999997
2013-01-01,35039,Brécé,Photovoltaïque,Solaire,0.13982
2013-01-01,35047,Bruz,Eclusée,Hydraulique,0.12064
2013-01-01,35047,Bruz,Photovoltaïque,Solaire,0.76645
2013-01-01,35051,Cesson-Sévigné,Photovoltaïque,Solaire,0.7885899999999999
2013-01-01,35055,Chantepie,Photovoltaïque,Solaire,0.30832
2013-01-01,35058,La Chapelle-Chaussée,Photovoltaïque,Solaire,0.18099
2013-01-01,35059,La Chapelle-des-Fougeretz,Autre,Thermique non renouvelable,7.29
2013-01-01,35059,La Chapelle-des-Fougeretz,Photovoltaïque,Solaire,0.6168699999999999
2013-01-01,35065,La Chapelle-Thouarault,Photovoltaïque,Solaire,0.34349
2013-01-01,35066,Chartres-de-Bretagne,Photovoltaïque,Solaire,0.26149
2013-01-01,35076,Chavagne,Photovoltaïque,Solaire,0.7304700000000001
2013-01-01,35079,Chevaigné,Photovoltaïque,Solaire,0.22569
2013-01-01,35080,Cintré,Photovoltaïque,Solaire,0.16557
2013-01-01,35088,Corps-Nuds,Photovoltaïque,Solaire,0.6450199999999999
2013-01-01,35120,Gévezé,Non renseigné,Bioénergies,0.15
2013-01-01,35120,Gévezé,Photovoltaïque,Solaire,0.59723
2013-01-01,35131,L'Hermitage,Non renseigné,Thermique non renouvelable,7.424
2013-01-01,35131,L'Hermitage,Photovoltaïque,Solaire,0.30602999999999997
2013-01-01,35132,Hirel,Photovoltaïque,Solaire,0.14237
2013-01-01,35135,Irodouër,Photovoltaïque,Solaire,0.38038
2013-01-01,35136,Janzé,Photovoltaïque,Solaire,0.80908
2013-01-01,35139,Laillé,Photovoltaïque,Solaire,0.64652
2013-01-01,35144,Langan,Photovoltaïque,Solaire,0.19526
2013-01-01,35150,Lécousse,Photovoltaïque,Solaire,0.38794
2013-01-01,35160,Loutehel,Photovoltaïque,Solaire,0.04967
2013-01-01,35170,Mecé,Photovoltaïque,Solaire,0.05249
2013-01-01,35180,Miniac-sous-Bécherel,Photovoltaïque,Solaire,0.10806
2013-01-01,35189,Montgermont,Photovoltaïque,Solaire,0.35314
2013-01-01,35190,Monthault,Photovoltaïque,Solaire,0.10695
2013-01-01,35196,Mordelles,Photovoltaïque,Solaire,0.5359700000000001
2013-01-01,35200,Moutiers,Photovoltaïque,Solaire,0.32282
2013-01-01,35204,Nouvoitou,Photovoltaïque,Solaire,0.27534000000000003
2013-01-01,35206,Noyal-Châtillon-sur-Seiche,Photovoltaïque,Solaire,0.69153
2013-01-01,35208,Orgères,Photovoltaïque,Solaire,0.86937
2013-01-01,35210,Pacé,Photovoltaïque,Solaire,1.18701
2013-01-01,35216,Parthenay-de-Bretagne,Photovoltaïque,Solaire,0.15744999999999998
2013-01-01,35230,Poilley,Photovoltaïque,Solaire,0.22137
2013-01-01,35235,Rannée,Photovoltaïque,Solaire,0.47197
2013-01-01,35238,Rennes,Autre,Bioénergies,10.627
2013-01-01,35238,Rennes,Autre,Thermique non renouvelable,8.5
2013-01-01,35238,Rennes,Cogénération à vapeur,Bioénergies,9.5
2013-01-01,35238,Rennes,Cogénération à vapeur,Thermique non renouvelable,1.454
2013-01-01,35238,Rennes,Photovoltaïque,Solaire,2.00925
2013-01-01,35240,Le Rheu,Photovoltaïque,Solaire,0.47805999999999993
2013-01-01,35245,Romillé,Photovoltaïque,Solaire,0.80626
2013-01-01,35250,Saint-Armel,Photovoltaïque,Solaire,0.14383
2013-01-01,35266,Saint-Erblon,Photovoltaïque,Solaire,0.17876
2013-01-01,35275,Saint-Gilles,Photovoltaïque,Solaire,0.84581
2013-01-01,35278,Saint-Grégoire,Photovoltaïque,Solaire,0.47964000000000007
2013-01-01,35281,Saint-Jacques-de-la-Lande,Photovoltaïque,Solaire,0.24362000000000003
2013-01-01,35310,Saint-Sauveur-des-Landes,Photovoltaïque,Solaire,0.37839
2013-01-01,35315,Saint-Sulpice-la-Forêt,Photovoltaïque,Solaire,0.13685
2013-01-01,35334,Thorigné-Fouillard,Photovoltaïque,Solaire,0.30219
2013-01-01,35351,Le Verger,Photovoltaïque,Solaire,0.12332
2013-01-01,35352,Vern-sur-Seiche,Photovoltaïque,Solaire,1.55093
2013-01-01,35353,Vezin-le-Coquet,Photovoltaïque,Solaire,0.33517
2013-01-01,35363,Pont-Péan,Photovoltaïque,Solaire,0.30232
2014-01-01,35001,Acigné,Photovoltaïque,Solaire,0.62788
2014-01-01,35024,Betton,Photovoltaïque,Solaire,0.55398
2014-01-01,35032,Bourgbarré,Photovoltaïque,Solaire,2.8196999999999997
