Code INSEE commune,commune,Code INSEE département,Département,Code INSEE région,Région,Type peuplement,Essence,Développement,Diamètre moyen,Surface travaux/longueur travaux,Année coupe,Hiérarchie géographique,Géo-point commune,COMMUNE_PRINCIPALE,Méthode de coupe,Nombre d'unités,Hmax CCG-LA,Courbes hauteurs (Désignation),Courbes hauteurs (Essence),Mise en oeuvre manuel (% manuel),Travaux tiers
35278,Saint-Grégoire,35,,,,Taillis,"Merisier,Robinier,Charme commun (Charmille)",Actif,< 15,0,2030,,"48.1588840471, -1.68571943452",Saint-Grégoire,DÉBROUSSAILLAGE,,12.0,C,Robinier,100,Non
35131,L'Hermitage,35,,,,Arbre isolé,"Noisetier (Coudrier, pourpre, tortueux)",Neutre,15 - 30,0,,,"48.1221023417, -1.8166504183",L'Hermitage,ABATTAGE,1,9.5,B,"Noisetier (Coudrier, pourpre, tortueux)",100,Non
35150,Lécousse,35,,,,Futaie,"Saule marsault (des chèvres),Chêne commun",Actif,15 - 30,0,2099,,"48.3600018318, -1.22059471096",Lécousse,ABATTAGE,3,14.0,C,Chêne commun,100,Non
35278,Saint-Grégoire,35,,,,Futaie,Bouleau,Actif,15 - 30,0,2027,,"48.1588840471, -1.68571943452",Saint-Grégoire,ECIMAGE,3,11.0,B,Bouleau,100,Non
35278,Saint-Grégoire,35,,,,Futaie,"Tilleul,Érable",Actif,> 30,0,2027,,"48.1588840471, -1.68571943452",Saint-Grégoire,ECIMAGE,3,11.0,C,Tilleul,100,Non
35278,Saint-Grégoire,35,,,,Arbre isolé,"Noisetier (Coudrier, pourpre, tortueux)",Neutre,15 - 30,0,,,"48.1588840471, -1.68571943452",Saint-Grégoire,ABATTAGE,1,17.0,B,"Noisetier (Coudrier, pourpre, tortueux)",100,Non
35240,Le Rheu,35,,,,Arbre isolé,Cerisier,Actif,15 - 30,0,2027,,"48.097397419, -1.78149989185",Le Rheu,ECIMAGE,1,5.5,B,Cerisier,100,Non
35131,L'Hermitage,35,,,,Futaie,"Chêne commun,Tilleul,Robinier",Actif,15 - 30,0,2099,,"48.1221023417, -1.8166504183",L'Hermitage,ECIMAGE,56,15.5,C,Robinier,100,Non
35131,L'Hermitage,35,,,,Futaie,"Cyprès,Pin,If",Actif,15 - 30,0,2099,,"48.1221023417, -1.8166504183",L'Hermitage,ECIMAGE,125,15.5,B,Cyprès,100,Non
35334,Thorigné-Fouillard,35,,,,Haie,"Noisetier (Coudrier, pourpre, tortueux),Prunellier commun (Épine noire)",Neutre,< 15,0,,,"48.1566082899, -1.58409867633",Thorigné-Fouillard,AUCUNE,,13.5,B,"Noisetier (Coudrier, pourpre, tortueux)",,Non
35136,Janzé,35,,,,Taillis,"Bouleau,Châtaignier",Actif,< 15,0,2025,,"47.9428950804, -1.50038718382",Janzé,DÉBROUSSAILLAGE,,4.5,C,Châtaignier,0,Non
35136,Janzé,35,,,,Taillis,Sureau,Neutre,,0,,,"47.9428950804, -1.50038718382",Janzé,DÉBROUSSAILLAGE,2,10.0,A,Sureau,0,Non
35136,Janzé,35,,,,Haie,"Châtaignier,Noisetier (Coudrier, pourpre, tortueux),Chêne commun",Actif,< 15,0,2025,,"47.9428950804, -1.50038718382",Janzé,TAILLE,25,13.5,B,Châtaignier,100,Non
35150,Lécousse,35,,,,Taillis,"Noyer,Chêne commun,Ronces",Neutre,,0,,,"48.3600018318, -1.22059471096",Lécousse,AUCUNE,,14.6,E,Chêne commun,0,Non
35150,Lécousse,35,,,,Haie,"Chêne commun,Ronces",Actif,< 15,0,2099,,"48.3600018318, -1.22059471096",Lécousse,TAILLE,,9.3,D,Chêne commun,0,Non
35210,Pacé,35,,,,Arbre isolé,Chêne commun,Actif,> 30,0,2029,,"48.152548244, -1.77716643787",Pacé,ABATTAGE,1,11.0,C,Chêne commun,100,Non
35210,Pacé,35,,,,Haie,Châtaignier,Actif,< 15,0,2099,,"48.152548244, -1.77716643787",Pacé,TAILLE,,10.5,B,Châtaignier,0,Non
