Rentrée scolaire,UAI,patronyme,adresse_condensee,code_postal,commune_d_implantation,commune_d_implantation_lib_l,commune_et_arrondissement,commune_et_arrondissement_lib_l,secteur_d_enseignement_lib_l,mef_bcp_11,mef_bcp_11_lib_l,mef_bcp_6,mef_bcp_6_lib_l,nombre_d_eleves_total,nombre_d_eleves_filles,nombre_d_eleves_garcons
2024,0350050P,BEL AIR,BEL AIR RUE RENAN,35190,35337,TINTENIAC,35337,TINTENIAC,SECTEUR PUBLIC,23820025214,1ERPRO MAINT.VEHIC.OPTA VOIT.PARTICUL.,238200,BAC PRO 3 ANS : 1ERE PRO (OU 2EME ANNEE),10,0,10
2024,0352009U,VICTOR ET HELENE BASCH,V. ET H. BASCH AVENUE TILLON,35000,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,32211031212,1BTS2  NEGO. ET DIGITAL. RELATION CLIENT,322110,BREVET  DE TECH.SUP.EN 2 ANS : 1E ANNEE,62,34,28
2025,0350009V,ALPHONSE PELLE,ALPHONSE PELLE RUE A. PELLE,35120,35095,DOL-DE-BRETAGNE,35095,DOL-DE-BRETAGNE,SECTEUR PUBLIC,23820033606,1ERPRO ESTHETIQUE COSMETIQUE PARFUMERIE,238200,BAC PRO 3 ANS : 1ERE PRO (OU 2EME ANNEE),23,23,0
2025,0350009V,ALPHONSE PELLE,ALPHONSE PELLE RUE A. PELLE,35120,35095,DOL-DE-BRETAGNE,35095,DOL-DE-BRETAGNE,SECTEUR PUBLIC,23830033606,TLEPRO ESTHETIQUE COSMETIQUE PARFUMERIE,238300,BAC PRO 3 ANS : TERM PRO (OU 3E ANNEE),28,28,0
2025,0350009V,ALPHONSE PELLE,ALPHONSE PELLE RUE A. PELLE,35120,35095,DOL-DE-BRETAGNE,35095,DOL-DE-BRETAGNE,SECTEUR PUBLIC,23220025524,2CAP2  ELECTRICIEN,232200,CAP EN 2 ANS : 2EME ANNEE,13,0,13
2025,0350009V,ALPHONSE PELLE,ALPHONSE PELLE RUE A. PELLE,35120,35095,DOL-DE-BRETAGNE,35095,DOL-DE-BRETAGNE,SECTEUR PUBLIC,23810023409,2NDPRO MET.AGENC.MENUIS.AMEUB.2NDE COMM.,238100,BAC PRO 3 ANS : 2NDE PRO (OU 1ERE ANNEE),14,0,14
2025,0350009V,ALPHONSE PELLE,ALPHONSE PELLE RUE A. PELLE,35120,35095,DOL-DE-BRETAGNE,35095,DOL-DE-BRETAGNE,SECTEUR PUBLIC,23830023405,TLEPRO TECHNICIEN MENUISIER AGENCEUR,238300,BAC PRO 3 ANS : TERM PRO (OU 3E ANNEE),8,1,7
2025,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23830024203,TLEPRO METIERS DE LA MODE - VÊTEMENT,238300,BAC PRO 3 ANS : TERM PRO (OU 3E ANNEE),48,44,4
2025,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23810031211,2NDPRO MET. RELATION CLIENT 2NDE COMMUNE,238100,BAC PRO 3 ANS : 2NDE PRO (OU 1ERE ANNEE),64,29,35
2025,0350050P,BEL AIR,BEL AIR RUE RENAN,35190,35337,TINTENIAC,35337,TINTENIAC,SECTEUR PUBLIC,23830025412,TLEPRO CARROSSIER PEINTRE AUTOMOBILE,238300,BAC PRO 3 ANS : TERM PRO (OU 3E ANNEE),13,0,13
