date_mesure,geocode_commune,libelle_commune,classe_distance,mode_transport,numerateur,denominateur,valeur
2022-01-01T00:00:00.000,35334,Thorigné-Fouillard,10-20km,Voiture,1683.105520694181,1928.0502297619141,87.29572988884318
2022-01-01T00:00:00.000,35047,Bruz,Moins de 2km,Voiture,0.0,738.0614413563928,0.0
2022-01-01T00:00:00.000,35266,Saint-Erblon,2-5km,Marche,5.40686416531968,32.0533236357992,16.86834172566413
2022-01-01T00:00:00.000,35150,Lécousse,5-10km,Marche,0.0,185.8242236272182,0.0
2022-01-01T00:00:00.000,35334,Thorigné-Fouillard,50km et plus,Pas de transport,0.0,50.83662922808678,0.0
2022-01-01T00:00:00.000,35135,Irodouër,Moins de 2km,Voiture,10.228421260013441,87.90424715231836,11.635866970443281
2022-01-01T00:00:00.000,35210,Pacé,10-20km,Deux-roues motorisé,31.84590181863595,2990.38537783882,1.0649430690318344
2022-01-01T00:00:00.000,35150,Lécousse,2-5km,Deux-roues motorisé,5.15803735326646,423.29198366899953,1.2185530442976393
2022-01-01T00:00:00.000,35204,Nouvoitou,Moins de 2km,Pas de transport,61.88587270523492,85.74503520279062,72.1742927259546
2022-01-01T00:00:00.000,35132,Hirel,2-5km,Deux-roues motorisé,0.0,35.8558325314023,0.0
2022-01-01T00:00:00.000,35204,Nouvoitou,Moins de 2km,Deux-roues motorisé,0.0,85.74503520279062,0.0
2022-01-01T00:00:00.000,35189,Montgermont,Moins de 2km,Transports en commun,10.97116530361763,157.7062212917563,6.9567105303480625
2022-01-01T00:00:00.000,35076,Chavagne,50km et plus,Vélo,0.0,51.237186011939656,0.0
2022-01-01T00:00:00.000,35120,Gévezé,2-5km,Transports en commun,0.0,16.74713091704269,0.0
2022-01-01T00:00:00.000,35210,Pacé,10-20km,Vélo,43.83627975119868,2990.38537783882,1.465907373546602
2022-01-01T00:00:00.000,35135,Irodouër,50km et plus,Deux-roues motorisé,0.0,10.228421260013441,0.0
2022-01-01T00:00:00.000,35189,Montgermont,Moins de 2km,Marche,43.20359985580956,157.7062212917563,27.394987656119763
2022-01-01T00:00:00.000,35066,Chartres-de-Bretagne,2-5km,Marche,4.79476588578453,478.7367025775229,1.0015454967144706
2022-01-01T00:00:00.000,35088,Corps-Nuds,5-10km,Deux-roues motorisé,9.819328738759221,207.32644025741254,4.7361681059915615
2022-01-01T00:00:00.000,35058,La Chapelle-Chaussée,10-20km,Vélo,0.0,89.27401129892682,0.0
2022-01-01T00:00:00.000,35081,Clayes,10-20km,Marche,0.0,315.4660178250105,0.0
2022-01-01T00:00:00.000,35065,La Chapelle-Thouarault,20-50km,Vélo,0.0,211.94477193944442,0.0
2022-01-01T00:00:00.000,35208,Orgères,50km et plus,Vélo,0.0,67.85385501978396,0.0
2022-01-01T00:00:00.000,35210,Pacé,10-20km,Pas de transport,0.0,2990.38537783882,0.0
2022-01-01T00:00:00.000,35065,La Chapelle-Thouarault,2-5km,Vélo,0.0,30.25538835470716,0.0
2022-01-01T00:00:00.000,35245,Romillé,50km et plus,Deux-roues motorisé,0.0,35.32590949307104,0.0
2022-01-01T00:00:00.000,35150,Lécousse,10-20km,Marche,0.0,102.67895137715198,0.0
2022-01-01T00:00:00.000,35238,Rennes,50km et plus,Vélo,0.0,2632.851512965538,0.0
2022-01-01T00:00:00.000,35200,Moutiers,Moins de 2km,Vélo,9.73118279569892,111.90860215053758,8.695652173913045
2022-01-01T00:00:00.000,35275,Saint-Gilles,Moins de 2km,Transports en commun,14.7052641399309,498.9185291822879,2.9474279426006436
2022-01-01T00:00:00.000,35240,Le Rheu,2-5km,Marche,4.99476165531692,729.2561550550028,0.6849118270301332
2022-01-01T00:00:00.000,35281,Saint-Jacques-de-la-Lande,Moins de 2km,Voiture,0.0,442.19893906697973,0.0
2022-01-01T00:00:00.000,35235,Rannée,Moins de 2km,Voiture,0.0,39.54867620718258,0.0
2022-01-01T00:00:00.000,35139,Laillé,50km et plus,Pas de transport,0.0,73.73774042714612,0.0
2022-01-01T00:00:00.000,35315,Saint-Sulpice-la-Forêt,10-20km,Marche,0.0,380.48874598070717,0.0
2022-01-01T00:00:00.000,35170,Mecé,Moins de 2km,Transports en commun,0.0,24.70549672877347,0.0
2022-01-01T00:00:00.000,35076,Chavagne,10-20km,Voiture,779.1251103969669,958.8575230746334,81.25556630130576
2022-01-01T00:00:00.000,35032,Bourgbarré,50km et plus,Vélo,0.0,42.64387996796482,0.0
2022-01-01T00:00:00.000,35189,Montgermont,Moins de 2km,Vélo,0.0,157.7062212917563,0.0
2022-01-01T00:00:00.000,35200,Moutiers,5-10km,Voiture,34.059139784946225,38.92473118279568,87.5
2022-01-01T00:00:00.000,35281,Saint-Jacques-de-la-Lande,Moins de 2km,Marche,230.04694319202807,442.19893906697973,52.02340459645086
2022-01-01T00:00:00.000,35065,La Chapelle-Thouarault,2-5km,Transports en commun,0.0,30.25538835470716,0.0
2022-01-01T00:00:00.000,35210,Pacé,20-50km,Transports en commun,2.67509659930077,326.97371526774793,0.8181381176496777
2022-01-01T00:00:00.000,35144,Langan,20-50km,Vélo,0.0,240.90064686586763,0.0
2022-01-01T00:00:00.000,35136,Janzé,10-20km,Deux-roues motorisé,10.01900237529692,661.2541567695966,1.5151515151515151
2022-01-01T00:00:00.000,35200,Moutiers,2-5km,Pas de transport,0.0,107.04301075268812,0.0
2022-01-01T00:00:00.000,35132,Hirel,10-20km,Transports en commun,5.23087568830718,279.18997433428626,1.873590088891955
2022-01-01T00:00:00.000,35144,Langan,5-10km,Pas de transport,0.0,43.534428272953065,0.0
2022-01-01T00:00:00.000,35275,Saint-Gilles,10-20km,Vélo,19.868959341043713,1501.6188768539907,1.323169257346494
2022-01-01T00:00:00.000,35132,Hirel,20-50km,Vélo,0.0,54.43856781718204,0.0
2022-01-01T00:00:00.000,35315,Saint-Sulpice-la-Forêt,2-5km,Deux-roues motorisé,0.0,5.0064308681672,0.0
2022-01-01T00:00:00.000,35351,Le Verger,50km et plus,Marche,0.0,5.21894949943051,0.0
2022-01-01T00:00:00.000,35081,Clayes,20-50km,Deux-roues motorisé,0.0,73.54419675362827,0.0
2022-01-01T00:00:00.000,35281,Saint-Jacques-de-la-Lande,10-20km,Transports en commun,158.4453183567282,1055.3380705034474,15.01370250777953
